"fips","state","county","premature_death_years_of_potential_life_lost.deaths","premature_death_years_of_potential_life_lost.aggregate_population","premature_death_years_of_potential_life_lost.ypll_rate","poor_or_fair_health.pct_fairoverpoor","poor_physical_health_days.physically_unhealthy","poor_mental_health_days.mentally_unhealthy","low_birthweight.pct_lbw","adult_smoking.pct_smokers","adult_obesity.pct_obese","binge_drinking.pct","motor_vehicle_crash_death_rate.mv_mortality","chlamydia_rate.cases","chlamydia_rate.population","chlamydia_rate.rates_per_100000","teen_birth_rate.births","teen_birth_rate","uninsured_adults.pct","primary_care_provider_rate.population","primary_care_provider_rate.pcp_no","primary_care_provider_rate.pcp","preventable_hospital_stays_ambulatory_care_sensitive_conditions.no_of_medicare_enrollees","preventable_hospital_stays_ambulatory_care_sensitive_conditions.acsc_rate","diabetic_screening.no_of_diabetics","diabetic_screening.pct_hba1c","hospice_use.pct","high_school_graduation.enrollment","high_school_graduation.diplomas","high_school_graduation.afgr","college_degrees.pct","unemployment.pct_unemployed","children_in_poverty.pct","income_inequality.gini","inadequate_social_support.pct_no_emotional","single_parent_households.pct","violent_crime_rate.aggregate_population","violent_crime_rate.crimes","violent_crime_rate","homicide_rate","air_pollution_particulate_matter_days.pm","air_pollution_ozone_days","access_to_healthy_foods.zip_codes_with_food","access_to_healthy_foods.num_zip_codes","access_to_healthy_foods.pct_food","liquor_store_density.population","liquor_store_density.stores","liquor_store_density.rate","Year"
"01001","Alabama","Autauga",670,137881,9778.1,25.86,5.48,4.14,8.83,28.14,30,13.59,28.8,184,49730,370,599,52.6,14,49730,37,74.4017695556002,9407,91.8033834926422,524,81.49,35.116717050694,632,452,71.5189873417722,20.6436271401395,4.6,13.8,40.7,27.61,8.66210670314637,146986,377,256.487012368525,NA,4,0,2,8,25,49109,2,0.407257325541143,2010
"01003","Alabama","Baldwin",2148,449589,8221.7,13.38,3.57,4.06,8.77,23.09,24.5,17.85,23.6,416,169162,245.9,1667,48.6,20.9,169162,175,103.451129686336,43980,65.3912988742404,1761,79.16,43.3497509882666,1945,1304,67.0437017994859,26.3212262870849,4.1,15.3,44.5,18.53,8.60062778304986,502263,862,171.623233246327,NA,4,3,11,26,42.3076923076923,168233,13,0.772737810061046,2010
"01005","Alabama","Barbour",424,79450,10686.1,24.42,6.11,3.84,11,22.68,36.4,9.84,30.4,165,28171,585.7,502,75.2,15.1,28171,14,49.696496397004,6546,92.2971976315105,374,79.68,63.8757875160091,339,191,56.3421828908555,11.1869031377899,7.8,34.1,47.4,10.69,14.3551615670575,84368,54,64.0053100701688,NA,7,0,2,5,40,28125,3,1.06666666666667,2010
"01007","Alabama","Bibb",373,60430,13069.5,18.17,4.22,5.31,9.11,NA,31.7,9.54,41.3,61,21482,284,295,67.5,17.7,21482,13,60.5157806535704,4033,96.7942555167929,212,74.53,22.1292797404204,313,189,60.3833865814696,11.0008445945946,5.2,24.2,39.8,NA,5.12577765756018,64273,82,127.580788200333,NA,4,0,4,8,50,21341,1,0.468581603486247,2010
"01009","Alabama","Blount",787,155580,8929.7,24.93,5.62,4.47,7.26,23.42,31.5,6.14,28.6,48,56436,85.1,654,57,20.8,56436,20,35.438372669927,8110,102.021063414552,350,76.86,36.2454336770602,667,487,73.0134932533733,11.6181247004952,4.1,18.5,41.1,10.16,7.12059584807987,167408,157,93.782853866004,NA,9,1,4,7,57.1428571428571,55811,NA,0,2010
"01011","Alabama","Bullock",213,30605,15080.6,NA,4.99,2.84,13.28,NA,37.3,4.54,54.8,79,10906,724.4,224,84.7,17,10906,9,82.5233816247937,1837,117.321240505377,90,78.89,25.4468229636862,137,87,63.5036496350365,8.82618285928861,9.6,38.7,47.2,NA,17.503904798001,NA,NA,NA,NA,13,0,1,4,25,10742,1,0.930925339787749,2010
"01013","Alabama","Butler",397,55895,13492.3,21.96,3.88,3.1,10.66,27.51,35.5,9.33,37.3,130,20520,633.5,362,65.9,14.5,20520,11,53.6062378167641,6433,177.415552437394,324,70.37,29.8715740437337,283,194,68.5512367491166,12.2937293729373,7.7,34.2,43.9,NA,9.82120051085568,60724,132,217.37698438838,NA,5,0,2,5,40,20213,1,0.494731113639737,2010
"01015","Alabama","Calhoun",2035,313874,11526.2,24.56,5.16,4.84,9.35,26.78,33.2,12.13,28,604,112903,535,1599,60.1,13.3,112903,124,109.828791086154,31000,102.425260736773,1508,77.59,25.4999488345614,1328,863,64.9849397590361,16.9942861730741,5.1,24.7,45.5,21.72,10.3289291126812,337861,1808,535.131311397291,NA,8,0,9,18,50,112704,7,0.621095968199886,2010
"01017","Alabama","Chambers",610,97016,10379.7,NA,4.24,4.89,10.04,17.48,35.7,9.58,27.6,223,35176,634,566,71.3,13.4,35176,25,71.0711848987946,11440,86.403596272939,597,78.06,41.6270635449019,421,268,63.6579572446556,10.1902060565613,13.2,24.6,40.2,NA,9.48427857772554,104748,217,207.1638599305,NA,7,0,3,4,75,34821,3,0.861549065219264,2010
"01019","Alabama","Cherokee",440,67722,11164.4,31.51,5.55,4.28,8.72,27.31,30.7,14.95,26,38,24863,152.8,327,72.1,18.3,24863,11,44.242448618429,6404,117.195690509633,350,83.14,23.8764081292025,332,225,67.7710843373494,8.48453725892959,5.2,29.1,44.4,NA,8.86630802948795,73353,23,31.3552274617262,NA,9,0,2,5,40,24526,1,0.407730571638261,2010
"01021","Alabama","Chilton",742,117579,12533.8,23.22,5.67,5.12,9.87,26.92,33.9,10.05,41.4,98,41953,233.6,536,62.4,18.2,41953,15,35.7542964746264,6911,100.268198526146,373,82.31,35.3129241837145,526,375,71.2927756653992,10.164109882269,4.5,24.3,45.5,23.68,7.74783745099259,125531,494,393.528291816364,NA,5,0,6,7,85.7142857142857,41750,3,0.718562874251497,2010
"01023","Alabama","Choctaw",272,40436,10827.4,24.96,6.58,4.02,11.49,17.16,36.1,5.52,45.4,69,14656,470.8,207,56.3,17.7,14656,11,75.0545851528384,4418,79.5661223837369,272,86.03,48.0941197183943,164,108,65.8536585365854,10.6386468469595,7.5,29.6,47.7,24.69,11.0410438824678,43006,9,20.9273124680277,NA,4,0,2,10,20,14360,2,1.39275766016713,2010
"01025","Alabama","Clarke",377,75099,10108.2,28.28,3.42,2.43,10.5,20.13,35.1,13.16,45.7,167,27248,612.9,380,56.4,14.3,27248,24,88.0798590722255,7544,117.827267819777,398,66.83,49.1534013491722,406,269,66.256157635468,13.4215167548501,8.2,30.9,52.4,NA,8.16241540864133,79985,79,98.7685190973308,NA,5,0,4,12,33.3333333333333,26749,3,1.12153725372911,2010
