"fips","state","county","demographics.population","demographics.percent_lt_18","demographics.percent_65_and_over","demographics.percent_african_american","demographics.percent_american_indianover_alaskan_native","demographics.percent_asian","demographics.percent_native_hawaiianover_other_pacific_islander","demographics.percent_hispanic","demographics.pct_not_proficient_in_english","demographics.percent_female","demographics.percent_rural","pct_diabetic.diabetes","hiv_rate","binge_drinking.pct","physical_inactivity.pct_physically_inactive","mental_health_providers_mhp.no__of_mph","mental_health_providers_mhp.population","median_household_income","pct_households_with_high_housing_costs.num","pct_households_with_high_housing_costs","pct_households_with_high_housing_costs","pct_of_children_eligible_for_free_lunch","pct_illiterate","liquor_store_density.population","liquor_store_density.stores","liquor_store_density.rate","pct_of_labor_force_that_drives_alone_to_work.no__drive","pct_of_labor_force_that_drives_alone_to_work.workers","pct_of_labor_force_that_drives_alone_to_work.drive","Year"
"01001","Alabama","Autauga",50756,27.8,11.6,18.4,0.5,0.6,0,2.2,0.8,51.4,44.8,11.4,169.9,13.2,32.7,1,50354,51622,4474,17745,25.2,28.8,12.7,50354,4,8,19529,22854,85.5,2011
"01003","Alabama","Baldwin",179878,23.1,17,10,0.5,0.6,0,3.3,1.8,51,54.2,9.8,176.1,16.8,25.2,29,176212,51957,19339,65833,29.4,28.9,10.6,176212,18,10,63562,76686,82.9,2011
"01005","Alabama","Barbour",29737,22.3,13.8,46.6,0.5,0.3,0,5,2.3,46.8,71.5,13.6,331.2,7.6,34.9,2,29836,30896,3557,9787,36.3,65.1,23.2,29836,3,10,8347,10176,82,2011
"01007","Alabama","Bibb",21587,23.3,13.5,22.3,0.3,0.1,0,1.5,0.9,48,81.5,11.1,89.5,9.4,36.6,0,21589,41076,1273,7234,17.6,47.8,17.5,21589,1,5,7274,8745,83.2,2011
"01009","Alabama","Blount",58345,24.2,14.7,2.1,0.5,0.2,0,7.9,4.1,50.2,91,11.4,66.2,4.5,34.6,1,57794,46086,3956,18638,21.2,36.8,13.9,57794,0,0,19290,24111,80,2011
"01011","Alabama","Bullock",10985,24.6,10.8,68.2,0.4,0.3,0,9.4,1.3,44.5,64.7,14.9,351.9,4.2,32.2,0,10921,26980,1288,3632,35.5,92.1,34.2,10921,1,9,3328,4026,82.7,2011
"01013","Alabama","Butler",19964,24.8,16.2,41.9,0.2,0.5,0,1,0.5,52.9,74.8,15.1,208.5,8.2,35,1,20171,31449,2386,7655,31.2,63.8,20.6,20171,1,5,6881,7920,86.9,2011
"01015","Alabama","Calhoun",114081,23.4,15,20,0.4,0.8,0.1,2.6,1.5,52.1,31,14.5,175.4,11.9,32.2,12,113422,39997,12713,45099,28.2,44.6,14.6,113422,5,4,39969,46261,86.4,2011
"01017","Alabama","Chambers",34320,22.5,16.8,37.8,0.2,0.2,0,1.5,0.7,52.6,49.8,16.1,275.3,10.5,36,1,34473,35614,3799,12976,29.3,60.1,20.2,34473,6,17,11425,13441,85,2011
"01019","Alabama","Cherokee",24448,20.9,18.6,5.6,0.3,0.4,0,1.3,0.2,51.4,100,13.6,62.5,14.9,36.5,0,24413,38028,2269,9593,23.7,43.4,16.4,24413,2,8,7509,9727,77.2,2011
