"fips","state","county","premature_death_years_of_potential_life_lost.deaths","premature_death_years_of_potential_life_lost.ypll_rate","poor_or_fair_health.pct_fairoverpoor","poor_physical_health_days.physically_unhealthy","poor_mental_health_days.mentally_unhealthy","low_birthweight.pct_lbw","adult_smoking.pct_smokers","adult_obesity.pct_obese","excessive_drinking.pct","motor_vehicle_crash_death_rate.mv_mortality","sexually_transmitted_infections.under_review","sexually_transmitted_infections.cases","sexually_transmitted_infections.population","sexually_transmitted_infections.rates_per_100000","teen_birth_rate.births","teen_birth_rate","uninsured_adults.pct","primary_care_physicians.pcp_no","primary_care_physicians.pcp_rate","previous_primary_care_physician_data_used_to_calculate_rankings.population","previous_primary_care_physician_data_used_to_calculate_rankings.pcp_no","previous_primary_care_physician_data_used_to_calculate_rankings.pcp_rate","preventable_hospital_stays_ambulatory_care_sensitive_conditions.no_of_medicare_enrollees","preventable_hospital_stays_ambulatory_care_sensitive_conditions.acsc_rate","diabetic_screening.no_of_diabetics","diabetic_screening.pct_hba1c","mammography_screening.rate","high_school_graduation.under_review","high_school_graduation.afgr","some_college_post_secondary_education.psed_num","some_college_post_secondary_education.population","some_college_post_secondary_education.psed","unemployment.pct_unemployed","children_in_poverty.pct","inadequate_social_support.pct_no_emotional","single_parent_households.pct","violent_crime_rate.aggregate_population","violent_crime_rate.crimes","violent_crime_rate","homicide_rate","air_pollution_particulate_matter_days.pm","air_pollution_ozone_days","access_to_healthy_foods.zip_codes_with_food","access_to_healthy_foods.num_zip_codes","access_to_healthy_foods.pct_food","access_to_recreational_facilities.rec_facs","access_to_recreational_facilities.population","access_to_recreational_facilities.rec_fac_rate","Year"
"01001","Alabama","Autauga",675,9967.4,25.8,5.2,4.1,9.45,27.4,31.5,14.1,28.3,NA,155,50364,307.8,600,52,15.5,22,43.690670056,50354,34,67.5,9224,78.8536,259,81.8533,69.5122,NA,75,7660,13818,55.4,8.9,14.9,26.8,29.7,149423,383,256.3,NA,3,0,2,6,33.3,3,50354,6,2011
"01003","Alabama","Baldwin",2219,8321.8,12.8,3.4,4.1,8.82,21.9,26.2,19.4,23.2,NA,395,174439,226.4,1739,49.6,20.9,144,81.719746669,176212,213,120.9,43513,63.9873,902,80.3769,72.4967,NA,70,26292,42731,61.5,8.8,15.1,19.9,28.9,516214,1005,194.7,NA,1,14,11,20,55,21,176212,12,2011
"01005","Alabama","Barbour",403,9559,23.9,5.9,3.9,11.35,22.9,37.6,8.5,29.2,NA,139,29309,474.3,521,79.9,16.3,11,36.868212897,29836,17,57,6169,90.3883,197,83.2487,68.3168,NA,55,2869,8267,34.7,13,31.9,12.6,52.5,85902,62,72.2,NA,7,0,3,4,75,2,29836,7,2011
"01007","Alabama","Bibb",365,13282.9,18.2,4.4,5,9.94,33,32.3,11.3,42.5,NA,65,21629,300.5,283,64.4,19.9,6,27.791931076,21589,9,41.7,3955,95.4298,106,80.1887,67.2414,NA,60,2497,6198,40.3,12,25,26.6,32,64465,106,164.4,NA,1,1,6,7,85.7,2,21589,9,2011
"01009","Alabama","Blount",756,8475,25.3,5.5,4.8,7.32,22.3,31.9,4.9,30,NA,60,57441,104.5,640,55.5,21.1,13,22.493684466,57794,21,36.3,7975,101.1794,171,70.7602,56.7164,NA,70,6599,15586,42.3,9.1,17.3,13.5,24.1,170219,78,45.8,NA,3,1,4,6,66.7,3,57794,5,2011
"01011","Alabama","Bullock",214,15432.9,NA,5.4,5.9,13.83,NA,37.8,4.4,59.3,NA,72,10796,666.9,228,88.9,18.8,5,45.783353173,10921,5,45.8,1671,95.3855,47,70.2128,NA,NA,65,925,3013,30.7,14.3,38,NA,60.2,NA,NA,NA,NA,7,0,1,3,33.3,0,10921,0,2011
"01013","Alabama","Butler",384,12651.5,22.2,3.9,3.2,10.89,27.3,36.8,10.3,35.6,NA,124,20090,617.2,353,67,17.3,9,44.618511725,20171,11,54.5,6354,164.5055,194,68.5567,48.6486,NA,65,2078,4664,44.6,15.2,30.9,NA,49.9,60541,134,221.3,NA,4,0,2,4,50,0,20171,0,2011
"01015","Alabama","Calhoun",2106,11719.6,23.2,5.1,4.8,9.13,26.7,33.5,13.3,27.7,NA,690,113419,608.4,1547,58.6,15.6,87,76.704695738,113422,119,104.9,31163,93.2771,791,79.1403,58.7571,NA,70,14815,29703,49.9,10.1,22.9,22.5,38.2,339229,2018,594.9,NA,5,0,9,12,75,8,113422,7,2011
"01017","Alabama","Chambers",649,11319,37.7,4.4,4.8,10.73,19.9,35.5,11.3,27.4,NA,211,34424,612.9,551,70.1,15.4,17,49.31395585,34473,23,66.7,10947,86.5382,314,81.5287,62.1762,NA,60,3892,8907,43.7,18.2,26.8,33,42.3,104058,338,324.8,NA,4,2,4,4,100,2,34473,6,2011
"01019","Alabama","Cherokee",466,11752.5,28.6,5.8,4.4,8.98,25.5,31.5,14.9,25.9,NA,38,24545,154.8,298,67.2,18.7,6,24.577069594,24413,11,45.1,6327,115.9697,191,86.3874,62.5,NA,65,2426,6057,40.1,10.7,26.5,21.9,25.7,73499,38,51.7,NA,4,0,2,4,50,2,24413,8,2011
"01021","Alabama","Chilton",709,12243.3,22.9,5.4,5.5,10.18,23.8,34.8,10.8,41.7,NA,108,42444,254.5,520,60.8,19.2,13,30.447817126,42696,18,42.2,6816,77.255,200,81.5,62.5,NA,70,4946,11903,41.6,9.6,24,23.3,28.5,126745,828,653.3,NA,2,2,6,7,85.7,2,42696,5,2011
"01023","Alabama","Choctaw",254,10115.8,29.6,6.7,4,10.79,19.4,36.5,7.9,43.3,NA,63,14055,448.2,199,56.2,17.2,5,35.503798906,14083,9,63.9,4179,72.5505,139,84.1727,59.6774,NA,70,1167,3267,35.7,12.4,29.3,27.2,36.9,NA,NA,NA,NA,2,0,2,10,20,0,14083,0,2011
"01025","Alabama","Clarke",379,9455,28,3.5,2.6,11.28,22,36,14.1,40.3,NA,165,26304,627.3,355,53.7,18.6,14,53.304904051,26264,25,95.2,7346,120.0682,219,73.0594,58.4746,NA,65,2506,5936,42.2,15.3,29,28.5,39.9,79509,73,91.8,NA,3,0,5,11,45.5,1,26264,4,2011
"01027","Alabama","Clay",233,9201,20.9,4.7,4.6,9.56,24,32.2,7.6,21.5,NA,68,13809,492.4,170,58.5,18.6,5,36.213514884,13807,9,65.2,5561,131.5687,114,66.6667,39.2857,NA,65,1556,3631,42.9,15.3,23.9,NA,26.3,NA,NA,NA,NA,1,3,2,4,50,0,13807,0,2011
"01029","Alabama","Cleburne",237,9304.9,26.3,5.5,5.4,8.78,21.5,28.8,11,30.8,NA,39,14799,263.5,203,68.5,17.8,1,6.786102063,14736,2,13.6,3825,87.0633,116,71.5517,41.1765,NA,75,1329,3915,33.9,9.3,22.3,NA,27.8,43910,125,284.7,NA,7,0,2,4,50,0,14736,0,2011
"01031","Alabama","Coffee",644,9527.4,20.5,3.7,4.2,8.79,21.1,32.7,14.6,23.3,NA,274,47753,573.8,549,53.3,18.3,21,43.957884161,47773,25,52.3,12475,109.4413,335,83.2836,74.5283,NA,80,7342,13035,56.3,7.8,23,21.5,33.5,140236,275,196.1,NA,6,0,2,5,40,5,47773,10,2011
