"fips","state","county","premature_death_years_of_potential_life_lost.deaths","premature_death_years_of_potential_life_lost.ypll_rate","poor_or_fair_health.pct_fairoverpoor","poor_physical_health_days.physically_unhealthy","poor_mental_health_days.mentally_unhealthy","low_birthweight.lbw_births","low_birthweight.pct_lbw","adult_smoking.pct_smokers","adult_obesity.pct_obese","physical_inactivity.pct_physically_inactive","excessive_drinking.pct","motor_vehicle_crash_death_rate.deaths","motor_vehicle_crash_death_rate.mv_mortality","sexually_transmitted_infections.cases","sexually_transmitted_infections.rates_per_100000","teen_birth_rate.births","teen_birth_rate.population","teen_birth_rate","uninsured.num","uninsured.pct","primary_care_physicians.num_pcp","primary_care_physicians.pcp_rate","previous_primary_care_physician_data_used_to_calculate_rankings.num_pcp","previous_primary_care_physician_data_used_to_calculate_rankings.pcp_rate","preventable_hospital_stays_ambulatory_care_sensitive_conditions.num_medicare_enrollees","preventable_hospital_stays_ambulatory_care_sensitive_conditions.acsc_rate","diabetic_screening.num_diabetics","diabetic_screening.pct_hba1c","mammography_screening.num_medicare_enrollees","mammography_screening.pct","high_school_graduation.pct_afgr","some_college_post_secondary_education.psed_num","some_college_post_secondary_education.population","some_college_post_secondary_education.pct_psed","unemployment.num_unemployed","unemployment.labor_force","unemployment.pct_unemployed","children_in_poverty.num","children_in_poverty.pct","inadequate_social_support.pct_no_emotional","children_in_single_parent_households.num","children_in_single_parent_households.num","children_in_single_parent_households.pct","violent_crime_rate.crimes","violent_crime_rate","air_pollution_particulate_matter_days.pm","air_pollution_ozone_days","access_to_recreational_facilities.rec_facs","access_to_recreational_facilities.rec_fac_rate","limited_access_to_healthy_foods.num","limited_access_to_healthy_foods.pct","access_to_healthy_foods.zip_codes_with","access_to_healthy_foods.num_zip_codes","access_to_healthy_foods.pct","fast_food_restaurants.num_foods","fast_food_restaurants.pct_foods","Year"
"01001","Alabama","Autauga",721,9865.83,22.2,4.9,4.1,450,9.7,24.6,34.1,32.2,15.9,96,28.383136869,214,424.9,611,12067,50.6,6059,13.8,22,43.690670056,34,67.5,4155,90.71083413,565,84.247787611,351,63.817663818,84.5,7941,14639,54.245508573,1933,24132,8,2530,17.5,23.7,4338,14687,29.536324641,444,290.50937285,3,0,4,7.8808416739,9274,21.02,NA,NA,NA,30,46.875,2012
"01003","Alabama","Baldwin",2228,8091.77,12.5,3.4,4.2,1288,9,22.7,25.5,25.1,19.7,263,23.183653321,471,270,1802,36008,50,23971,16.4,144,81.719746669,213,120.9,21083,57.965565436,2262,80.946065429,1752,71.689497717,72.6,26343,43354,60.762559395,7256,81390,8.9,8357,20.2,19.3,11651,40849,28.522118045,1196,241.88051992,1,14,18,10.006782375,999,0.72,NA,NA,NA,112,35.668789809,2012
"01005","Alabama","Barbour",366,8835.69,24.8,6.1,4.6,311,12.1,23.4,37,34.2,11,57,28.495155824,208,709.7,493,6638,74.3,4781,19.4,11,36.868212897,17,57,2746,114.56612111,434,84.792626728,248,65.322580645,64.1,2970,7588,39.14074855,1187,9773,12.1,2145,36.2,17.6,3237,6230,51.958266453,104,189.96474693,7,0,1,3.3628140028,1275,4.85,NA,NA,NA,21,63.636363636,2012
"01007","Alabama","Bibb",378,13096.85,20.5,4.8,5.6,187,10,35.1,34,37.2,13.1,62,41.189718515,69,319,273,4639,58.8,3349,18.4,6,27.791931076,9,41.7,1821,96.043898957,287,81.533101045,170,58.235294118,67.3,2566,6358,40.358603334,905,8444,10.7,1448,28.6,29.1,1872,5274,35.494880546,135,219.74802227,1,1,1,4.6324176588,7087,35.34,NA,NA,NA,7,53.846153846,2012
"01009","Alabama","Blount",781,8698.84,25.2,6.1,5.1,363,7.5,22.7,32,35.9,5.2,121,31.160831093,50,87,618,12032,51.4,8591,17.6,13,22.493684466,21,36.3,4814,87.375959933,621,82.286634461,398,66.834170854,75.3,6710,15012,44.697575273,2319,26016,8.9,3356,24.1,14.3,3543,14006,25.296301585,110,142.597874,3,1,3,5.1418287771,14841,29.4,NA,NA,NA,24,55.813953488,2012
"01011","Alabama","Bullock",201,13597.75,NA,5.2,5.7,164,13.7,NA,39.4,30.9,4.6,48,61.957068914,91,842.9,236,2621,90,1982,21.1,5,45.783353173,5,45.8,1266,96.578505001,214,83.177570093,114,64.912280702,58.3,1057,2746,38.492352513,537,3651,14.7,958,40.3,NA,1607,2496,64.383012821,131,473.02664837,7,0,0,0,1598,15.82,NA,NA,NA,4,66.666666667,2012
"01013","Alabama","Butler",381,12230.6,24.1,4.3,3.5,220,11.3,28.7,40.8,36.6,8.8,53,36.830876783,121,602.3,344,5215,66,2896,17.8,9,44.618511725,11,54.5,2759,174.53136556,407,79.606879607,223,53.3632287,75.5,2185,4888,44.701309329,1091,8993,12.1,1971,39.6,27.6,2514,5036,49.920571882,214,433.41772152,4,0,0,0,579,2.75,NA,NA,NA,17,47.222222222,2012
"01015","Alabama","Calhoun",2033,11208.41,23.1,5.1,4.9,949,9,26.8,33.6,33.9,12.5,211,26.789602587,616,543.1,1501,25976,57.8,14673,15.5,87,76.704695738,119,104.9,15224,91.265503269,2090,78.612440191,1241,60.918614021,71.7,14734,29935,49.219976616,5017,52565,9.5,8373,31.5,22.4,10435,26562,39.285445373,2259,1005.8283725,5,0,7,6.135991094,20814,18.92,NA,NA,NA,95,58.641975309,2012
"01017","Alabama","Chambers",660,11218.17,41.1,4.4,4.8,329,11.1,21.4,35.2,35.8,12.7,67,27.082415428,194,563.6,547,7785,70.3,5196,18.7,17,49.31395585,23,66.7,5081,72.718388627,762,84.120734908,449,67.037861915,60.8,3925,8519,46.073482803,1931,14060,13.7,3290,43.5,32.6,3732,8090,46.131025958,473,539.7879649,4,2,2,5.8275058275,293,0.81,NA,NA,NA,22,53.658536585,2012
"01019","Alabama","Cherokee",475,11612.66,29,5.6,4.6,163,9,25.2,30.6,35.9,12.7,47,27.363922706,45,183.3,282,4553,61.9,3469,17.8,6,24.577069594,11,45.1,3030,113.56743382,477,89.308176101,293,66.894197952,66.6,2663,6072,43.857048748,1036,11355,9.1,1816,33.1,23,1356,5295,25.609065156,112,155.73291805,4,0,1,4.0903141361,19,0.08,NA,NA,NA,16,61.538461538,2012
"01021","Alabama","Chilton",733,12217.78,21.6,5.1,5.2,386,9.8,22.6,35.3,30.9,9.8,125,42.911088225,103,242.7,544,8921,61,6960,19.1,13,30.447817126,18,42.2,3057,95.296218252,421,84.085510689,261,61.302681992,73.1,4932,11711,42.114251558,1791,19067,9.4,3447,32,22.6,3297,10859,30.361911778,1272,1016.6321662,2,2,3,6.9814526076,11941,30.63,NA,NA,NA,23,57.5,2012
"01023","Alabama","Choctaw",250,9538.26,31.2,7.1,4.1,133,11,17,38.3,35,8.2,45,43.423299978,59,419.8,188,3549,53,2038,18.2,5,35.503798906,9,63.9,2050,67.612025826,371,84.905660377,157,65.605095541,68,1176,3218,36.544437539,567,4986,11.4,922,29.9,26.8,1179,3219,36.626281454,19,103.56480977,2,0,0,0,1784,11.36,NA,NA,NA,4,36.363636364,2012
"01025","Alabama","Clarke",366,8490.31,NA,3.5,2.4,272,11.8,22.7,35.4,38,14.2,62,32.668890259,189,718.5,309,6673,46.3,3565,16.8,14,53.304904051,25,95.2,3421,114.43745792,512,76.3671875,286,58.041958042,74.3,2690,6145,43.775427177,1585,10057,15.8,2110,33.5,27.7,2700,6740,40.059347181,211,398.24094521,3,0,2,7.6799016973,1541,5.6,NA,NA,NA,23,63.888888889,2012
"01027","Alabama","Clay",232,10287.25,21.2,4.4,4.7,99,9.3,20.5,34.3,37.5,7.2,20,20.444253631,57,412.8,167,2948,56.6,1963,18,5,36.213514884,9,65.2,2565,141.94846916,302,74.17218543,216,56.018518519,72.8,1502,3606,41.652800887,744,5356,13.9,918,29.8,26.6,848,3087,27.470035633,116,297.43589744,1,3,0,0,192,1.38,NA,NA,NA,4,36.363636364,2012
"01029","Alabama","Cleburne",233,8287.95,21.2,5.4,4.8,104,8.3,20.8,29.9,33.5,9.6,30,29.305460584,18,121.6,199,3059,65.1,2191,17.8,1,6.786102063,2,13.6,1872,80.422500396,268,82.835820896,160,55.625,86.4,1434,3744,38.301282051,530,6292,8.4,932,26.8,24.5,1115,3433,32.478881445,117,284.69231331,7,0,0,0,33,0.23,NA,NA,NA,7,63.636363636,2012
"01031","Alabama","Coffee",635,9293.38,21,3.6,4.2,388,9.1,19.4,32.1,28.6,11.3,80,25.024711903,257,538.2,531,10404,51,6337,15.6,21,43.957884161,25,52.3,5934,110.02908096,844,82.227488152,504,69.246031746,78.7,7518,13005,57.808535179,1566,21319,7.3,3588,30,22.7,4278,11502,37.19353156,392,313.86113246,6,0,5,10.280662075,1059,2.5,NA,NA,NA,35,53.03030303,2012
"01033","Alabama","Colbert",921,10432.39,23.6,4.7,4.4,492,11.3,27.9,33.1,34.7,8.4,93,24.289467773,239,437.2,629,11940,52.7,7155,16.1,39,71.394574012,52,95.2,7983,78.41269478,1273,88.059701493,756,67.857142857,68.6,7256,13415,54.088706672,2434,25085,9.7,3812,32.2,20.7,4024,12025,33.463617464,815,537.83664284,1,4,4,7.3207781987,12449,22.93,NA,NA,NA,41,50.617283951,2012
"01035","Alabama","Conecuh",216,11541.69,17.4,4.7,3.8,132,11.6,19.6,33,36.1,5.9,50,53.410814622,75,574,173,3150,54.9,1726,16.7,5,38.349440098,8,61.4,1385,186.45001826,221,72.850678733,133,66.165413534,70,904,2659,33.997743513,746,4577,16.3,1229,41,NA,1347,3202,42.067457839,105,278.12359283,4,0,0,0,1901,13.52,NA,NA,NA,5,55.555555556,2012
"01037","Alabama","Coosa",227,11911.91,24.9,3.4,3.4,87,11.1,NA,33.8,34.8,8.6,30,38.156773463,39,360.6,130,2349,55.3,1353,15.9,1,9.3248787766,2,18.6,590,72.116482461,84,82.142857143,58,58.620689655,60.5,875,2684,32.600596125,565,4328,13.1,687,29.5,NA,770,2436,31.609195402,74,239.12621987,6,1,0,0,963,8.22,NA,NA,NA,NA,NA,2012
"01039","Alabama","Covington",644,10720.12,21,3.5,4,295,9.3,28.8,36.4,37.3,12.4,93,35.925229168,166,450.4,568,8141,69.8,5442,18.7,24,65.491458822,32,87.3,5808,157.56905262,815,80.736196319,478,66.736401674,71.8,3594,8868,40.527740189,1475,16235,9.1,2532,30.2,15.1,3170,8418,37.657400808,323,351.61820577,4,0,2,5.4528600251,682,1.83,NA,NA,NA,25,51.020408163,2012
"01041","Alabama","Crenshaw",227,11078.7,22.9,4.5,3.6,118,9.9,18.2,37.2,33.5,NA,36,37.556334502,72,523.5,179,3021,59.3,2063,18.3,2,14.613473623,3,21.9,2011,112.10226146,282,79.078014184,156,55.769230769,80,1357,3453,39.299160151,563,6489,8.7,983,30.3,17.7,1259,3321,37.910267992,89,239.3631327,6,0,0,0,2282,16.86,NA,NA,NA,3,25,2012
"01043","Alabama","Cullman",1273,9846.35,20.9,4.4,4.7,651,9.3,24.8,32,29.4,7,205,36.779019095,191,234.9,993,17461,56.9,12629,18.6,44,53.975809024,63,77.3,9622,75.306298267,1301,84.319754035,811,70.900123305,74.3,9862,20297,48.588461349,3323,37808,8.8,4899,26.8,16.7,4751,18634,25.496404422,438,191.42770982,1,0,4,4.8912910563,211,0.28,NA,NA,NA,50,53.191489362,2012
"01045","Alabama","Dale",703,9125.72,23.7,4.7,4,467,8.7,26.2,35.6,31.3,16.8,75,21.98201578,217,449.3,643,11468,56.1,6748,16.5,13,26.859504132,21,43.4,5122,81.261201824,829,80.096501809,472,63.559322034,69,8216,13426,61.194696857,1686,19916,8.5,3152,25.6,17.1,3826,12366,30.939673298,606,435.39800119,6,0,2,4.1539452095,602,1.27,NA,NA,NA,33,51.5625,2012
"01047","Alabama","Dallas",895,14640.76,27.2,4,3.6,618,12.6,20.3,41.4,34,11.5,96,30.990635017,651,1518.7,992,12166,81.5,5666,16.5,43,100.87503226,66,154.8,4624,80.831593098,704,71.022727273,378,61.904761905,66.2,4782,10196,46.90074539,2593,15020,17.3,6441,56.5,33.4,6734,11795,57.091988131,1011,966.5761597,2,0,1,2.3852116875,3052,6.65,NA,NA,NA,20,55.555555556,2012
"01049","Alabama","DeKalb",1052,9621.2,21.4,4.6,5.2,618,8.9,19.7,33.9,27.5,10.7,139,29.522646419,82,119.7,1046,14056,74.4,11897,20.3,24,34.836125062,31,45,7863,93.891657686,1070,85.046728972,636,59.119496855,68.4,7452,18531,40.213695969,3390,29270,11.6,5698,31.6,26.2,5530,18172,30.431432974,426,206.34136418,1,0,4,5.765350245,0,0,NA,NA,NA,41,53.947368421,2012
"01051","Alabama","Elmore",1034,8753.07,17.9,4.4,3.8,627,9.1,20.1,31.5,31.7,9.2,124,24.000216776,270,345.7,848,16521,51.3,9915,14.6,24,30.72,36,46.1,6962,87.640269006,919,79.325353645,578,67.301038062,67.1,11526,22102,52.149126776,3026,35819,8.4,3409,18.4,14.9,5500,18701,29.410191968,314,183.68588544,3,0,4,5.0484015499,14159,23.7,NA,NA,NA,29,46.031746032,2012
"01053","Alabama","Escambia",594,10701.91,26.5,4.6,3.6,380,10.8,22.8,35.5,37.6,6.3,107,40.243264895,217,578.8,579,8390,69,6008,19.5,19,50.623467974,29,77.3,5335,122.71504396,857,77.712952159,481,63.617463617,72.3,4199,10176,41.263757862,1593,14386,11.1,3029,35.6,20.5,4268,8897,47.971226256,613,542.71321192,1,0,2,5.3427365497,939,2.62,NA,NA,NA,22,52.380952381,2012
"01055","Alabama","Etowah",1934,12083.7,21,4.7,4.6,797,9,26.9,32.1,34.2,11.5,177,24.499592366,499,483,1370,22905,59.8,14486,17.1,75,72.509305361,104,100.5,13464,96.24330328,1984,83.41733871,1121,61.641391615,69.8,14736,26392,55.835101546,4191,44377,9.4,6777,28.8,24.7,7948,23708,33.524548676,955,355.5472822,4,1,9,8.6834869024,20815,20.57,NA,NA,NA,82,60.294117647,2012
"01057","Alabama","Fayette",332,11907.05,29.2,6.4,5.3,121,9.3,18,36.5,32.7,3.6,49,38.783619066,47,265.7,222,4228,52.5,2363,16.8,19,108.09580702,27,153.6,2251,98.820722009,310,78.709677419,217,65.898617512,66.6,1628,3842,42.373763665,785,6638,11.8,1360,36,28.2,1163,3946,29.472883933,67,125.85941316,1,0,0,0,134,0.74,NA,NA,NA,12,70.588235294,2012
"01059","Alabama","Franklin",581,12312.31,23.4,7.6,4.6,271,8.6,NA,31.2,37.2,6.6,78,36.228518346,85,276,482,6391,75.4,5156,19.9,14,45.087114747,23,74.1,4393,125.48367641,637,84.929356358,394,55.583756345,70,3611,8287,43.574272958,1323,13080,10.1,2644,34.2,24.3,2467,7645,32.269457162,144,193.36126329,1,0,3,9.6490945933,282,0.92,NA,NA,NA,22,56.41025641,2012
"01061","Alabama","Geneva",424,9787.22,23.2,3.8,3,184,8.5,NA,35.5,35.3,9.1,62,34.515969203,75,289.8,329,5612,58.6,4152,19.8,7,26.953140041,12,46.2,4090,108.42235371,597,81.909547739,337,67.06231454,72.9,2775,6177,44.924720738,974,10846,9,1867,31.6,24.4,2322,5915,39.256128487,231,306.98082367,6,0,0,0,8502,32.91,NA,NA,NA,10,55.555555556,2012
"01063","Alabama","Greene",171,12690.4,22,4.4,5.3,137,15.1,NA,47.6,38,NA,23,34.282818346,98,1068.5,156,2263,68.9,1213,16.9,4,44.252682819,5,55.3,1060,111.65056812,187,78.07486631,75,54.666666667,58.5,808,1925,41.974025974,544,3223,16.9,884,40.9,NA,1256,2346,53.537936914,NA,NA,0,0,0,0,5063,51.41,NA,NA,NA,1,25,2012
"01065","Alabama","Hale",286,12314.34,24.8,4.3,3.7,177,11.8,NA,43.5,35.6,8,49,38.750800718,205,1129.8,228,4517,50.5,2750,18.4,3,16.590167561,5,27.7,2174,112.58290626,319,73.667711599,168,55.357142857,73.5,1410,3779,37.311458058,818,6767,12.1,1382,35.7,NA,1957,4183,46.784604351,290,557.15658021,1,0,0,0,6953,40.81,NA,NA,NA,5,50,2012
