"fips","state","county","demographics.population","demographics.lt_18","demographics.65_and_over","demographics.african_american","demographics.american_indianover_alaskan_native","demographics.asian","demographics.native_hawaiianover_other_pacific_islander","demographics.hispanic","demographics.non_hispanic_white","demographics.num_not_proficient_in_english","demographics.pct_not_proficient_in_english","demographics.female","demographics.rural","diabetes.pct_diabetic","hiv_prevalence_rate.cases","hiv_prevalence_rate","premature_age_adjusted_mortality.total_deaths","premature_age_adjusted_mortality","child_mortality.total_deaths","child_mortality.rate","infant_mortality.total_deaths","infant_mortality.rate","mental_health_providers.num_mhp","mental_health_providers.mhp_rate","health_care_costs","uninsured_adults.num","uninsured_adults.pct","uninsured_children.num","uninsured_children.pct","could_not_see_doctor_due_to_cost.pct_couldnt_access","median_household_income","high_housing_costs.num","high_housing_costs.households","high_housing_costs.pct","children_eligible_for_free_lunch.pct","homicide_rate","commuting_alone.num_drive","commuting_alone.workers","commuting_alone.pct_drive","access_to_parks.pct_park","Year"
"01000","Alabama",NA,4802740,23.468749089,14.004214261,26.18865481,0.6933125674,1.1900498465,0.1088337074,4.0366124337,66.764825912,65699,1.478454184,51.496624843,40.963182904,12.657062808,10616,272.3,70721,464.6,3591,79.203789078,2864,925.67753196,939,19.62218,10048.35,615736,21.2,74298,6.3,16.3,41427,543631,1831269,29.686026466,48.701246427,9.1370522626,1673170,1995834,83.833124398,15.990238812,2013
"01001","Alabama","Autauga",55267,26.033618615,12.255052744,18.325583079,0.4831092695,0.9246023848,0.0940886967,2.6019143431,76.401831111,271,0.5379545815,51.22043896,42.002162321,12.3,76,185,729,439.5,35,59.215646466,27,807.41626794,2,3.66052,9489.02,5771,17.4,811,5.3,17.5,48863,5361,19998,26.807680768,36.116720517,3.5738045624,21262,24349,87.321861267,20,2013
"01003","Alabama","Baldwin",186717,22.798673929,17.072360846,9.5749181917,0.7192703396,0.755689091,0.0658750944,4.529314417,83.246303229,2788,1.6554443217,51.151743012,42.279099114,11.4,269,179,2325,365,97,58.711731451,66,589.07533024,32,17.46163,9618.34,25021,23.1,3950,9.1,15.5,50144,21260,70757,30.046497166,36.761938576,4.1789527879,65382,78770,83.003681605,5,2013
"01005","Alabama","Barbour",27119,21.811276227,14.624433054,46.406578414,0.648991482,0.4461816439,0.1696227737,5.3468048232,46.679449832,400,1.5457742397,46.543014123,67.789634702,14,86,344.5,422,459.3,26,105.2588964,27,1539.3386545,1,3.65097,9761.77,3424,23.6,398,6.4,17.1,30117,3107,9589,32.401710293,66.388961208,5.1320475843,7404,9447,78.374087012,4,2013
"01007","Alabama","Bibb",22766,22.050426074,13.26100325,22.21734165,0.3118685759,0.1273829395,0.1317754546,1.9898093648,74.523412106,172,0.8022762256,46.138979179,68.352607462,11.8,18,99.5,390,541.8,22,103.89119758,17,1192.1458626,NA,NA,11269.81,2870,22.4,325,6.1,17.9,37347,1589,7225,21.993079585,53.502277904,7.6500851072,7428,8930,83.180291153,NA,2013
"01009","Alabama","Blount",57677,24.394472667,15.033722281,1.6817795655,0.6224318186,0.2149903774,0.1074951887,8.5580040571,88.003883697,1589,2.9679299202,50.552213187,89.951502041,12.6,39,80.8,826,426.2,36,63.883023087,23,605.74137477,1,1.74255,10238.2,8295,23.9,1191,8.1,15.4,41940,4990,20954,23.814068913,43.931360262,4.0796448669,18857,23566,80.017822286,1,2013
"01011","Alabama","Bullock",10542,21.874407133,13.612217795,68.336179093,0.9011572757,0.2086890533,0.8062986151,7.7499525707,22.879908936,321,3.1452087008,45.731360273,51.374381528,15.6,32,358.4,192,514.8,NA,NA,10,1191.8951132,NA,NA,9567.91,1167,21.1,131,5.2,NA,26038,1114,3760,29.627659574,90.120329322,NA,3096,3910,79.181585678,1,2013
"01013","Alabama","Butler",20650,23.607748184,17.055690073,43.176755448,0.3631961259,0.9152542373,0.0532687651,1.0847457627,53.772397094,27,0.1383763838,53.094430993,71.23215735,16.6,34,207.4,389,553,13,63.985824679,14,1020.4081633,1,4.77532,10612.92,2717,21.9,291,5.5,17.2,30489,2633,8090,32.546353523,67.874109264,9.5777577101,6900,7833,88.088854845,10,2013
"01015","Alabama","Calhoun",117797,22.813823782,14.557246789,20.605787923,0.5246313573,0.7691197569,0.094229904,3.4236865115,73.329541499,1144,1.0361474155,51.876533358,33.696825557,14.2,166,175.6,2042,532.3,88,81.336130803,65,908.07488125,11,9.2885,11551.97,14592,20.1,1520,5.4,17.9,39060,13579,45923,29.569061255,50.982392098,11.305725244,39740,46580,85.315586088,17,2013
"01017","Alabama","Chambers",33939,22.254633313,16.968679101,38.483750258,0.2150917823,0.5922390171,0.0441969416,1.676537317,58.107192316,100,0.3089661991,52.21132031,49.148034488,16.2,81,281.6,643,531.1,20,62.831830605,15,761.03500761,1,2.92886,9133.38,4901,23.7,472,5.9,21,33500,4232,13562,31.204837045,65.130096292,8.2069463594,10925,13218,82.652443637,2,2013
