"data_for_measures_with_an_asterisk_should_not_be_compared_prior_years_due_to_changes_in_definition.fips","data_for_measures_with_an_asterisk_should_not_be_compared_prior_years_due_to_changes_in_definition.state","data_for_measures_with_an_asterisk_should_not_be_compared_prior_years_due_to_changes_in_definition.county","premature_death_years_of_potential_life_lost.deaths","premature_death_years_of_potential_life_lost.ypll_rate","premature_death_years_of_potential_life_lost.z_score","poor_or_fair_health.pct_fairoverpoor","poor_or_fair_health.z_score","poor_physical_health_days.physically_unhealthy","poor_physical_health_days.z_score","poor_mental_health_days.mentally_unhealthy","poor_mental_health_days.z_score","low_birthweight.lbw_births","low_birthweight.live_births","low_birthweight.pct_lbw","low_birthweight.z_score","adult_smoking.pct_smokers","adult_smoking.z_score","adult_obesity.pct_obese","adult_obesity.z_score","physical_inactivity.pct_physically_inactive","physical_inactivity.z_score","excessive_drinking.pct","excessive_drinking.z_score","motor_vehicle_crash_death_rate.deaths","motor_vehicle_crash_death_rate.mv_mortality","motor_vehicle_crash_death_rate.z_score","sexually_transmitted_infections.chlamydia_cases","sexually_transmitted_infections.chlamydia_rate","sexually_transmitted_infections.z_score","teen_birth_rate.births","teen_birth_rate.population","teen_birth_rate","teen_birth_rate.z_score","uninsured.num","uninsured.pct","uninsured.z_score","primary_care_physicians.num_pcp","primary_care_physicians.pcp_rate","primary_care_physicians.z_score","dentists.num","dentists.dentist_rate","previous_dentists_data_used_to_calculate_rankings.num","previous_dentists_data_used_to_calculate_rankings.dentist_rate","previous_dentists_data_used_to_calculate_rankings.z_score","preventable_hospital_stays_ambulatory_care_sensitive_conditions.num_medicare_enrollees","preventable_hospital_stays_ambulatory_care_sensitive_conditions.acsc_rate","preventable_hospital_stays_ambulatory_care_sensitive_conditions.z_score","diabetic_screening.num_diabetics","diabetic_screening.pct_hba1c","diabetic_screening.z_score","mammography_screening.num_medicare_enrollees","mammography_screening.pct","mammography_screening.z_score","high_school_graduation.afgr","high_school_graduation.z_score","some_college_post_secondary_education.num","some_college_post_secondary_education.population","some_college_post_secondary_education.pct","some_college_post_secondary_education.z_score","unemployment.num_unemployed","unemployment.labor_force","unemployment.pct_unemployed","unemployment.z_score","children_in_poverty.num","children_in_poverty.pct","children_in_poverty.z_score","inadequate_social_support.pct_no_emotional","inadequate_social_support.z_score","children_in_single_parent_households.num","children_in_single_parent_households.num","children_in_single_parent_households.pct","children_in_single_parent_households.z_score","violent_crime_rate.annual_crimes","violent_crime_rate","violent_crime_rate.z_score","daily_fine_particulate_matter.average_pm25","daily_fine_particulate_matter.z_score","drinking_water_safety.pct_pop_in_viol","drinking_water_safety.pop__in_viol","drinking_water_safety.z_score","access_to_recreational_facilities.num_rec","access_to_recreational_facilities.rec_facility_rate","access_to_recreational_facilities.z_score","limited_access_to_healthy_foods.num","limited_access_to_healthy_foods.pct","limited_access_to_healthy_foods.z_score","fast_food_restaurants.num_foods","fast_food_restaurants.pct_foods","fast_food_restaurants.z_score","Year"
"01000","Alabama",NA,70721,9608.9,NA,20.1,NA,4.2,NA,4.1,NA,45428,434726,10.4,NA,22.5,NA,32.870449813,NA,30.661285389,NA,12.3,NA,7559,23.145770125,NA,26875,562.26954794,NA,57237,1160241,49.331992233,NA,681437,16.9,NA,2916,60.93533,NA,1970,41.16687,1970,40.1941,NA,488857,80.069999933,NA,66345,83.688296028,NA,39019,65.270765524,NA,72,NA,692921,1227696,56.440763837,NA,196542,2190519,9,NA,307310,27.6,NA,22.5,NA,416760,1122964,37.112498709,NA,20120.333333,426.569135,NA,12.85,NA,1.2789908011,70851,NA,349,7.2930147338,NA,367290.19933,7.6752230237,NA,3286,53.807106599,NA,2013
"01001","Alabama","Autauga",729,8376.42,-1.135994137,23.2,0.1297096741,5.1,0.7238264676,4.3,0.0990390588,450,4765,9.4,-0.64755114,23.5,0.3167136806,34.1,-0.248536842,32.2,-0.287659708,16.5,1.49893008,87,23.916999764,-0.623150972,198,362.8,-0.622695469,608,14304,42.505592841,-0.907386377,6467,13.6,-2.057506217,20,36.60523,0.2816560547,14,25.62366,14,25.41204,0.1099791726,4416,70.949999809,-0.744715316,591,84.771573604,-0.496581576,352,68.465909091,-1.039843537,80,-0.503708443,7990,14690,54.390742001,-0.694508526,2076,25930,8,-0.900556088,2999,21,-1.388189481,23.7,0.1688672128,3872,14627,26.471593628,-1.166002552,157,300.33668316,-0.301034454,13.31,0.7057180737,0,0,-0.312313964,4,7.3210461775,-0.6723092,5344.4274725,9.7935303961,0.4063421893,36,52.173913043,0.0316877104,2013
"01003","Alabama","Baldwin",2325,7770.16,-1.474249721,12.5,-2.066956318,3.3,-1.552724519,3.8,-0.567958684,1325,15068,8.8,-0.985184808,22.6,0.1153826792,25.5,-2.330032897,25.1,-2.38001021,18.7,2.091089093,239,19.975394326,-1.07298122,558,306.1,-0.810857173,1842,38182,48.242627416,-0.408943499,28586,19.1,0.7982039184,136,74.21191,-1.567509088,78,42.56271,78,42.03356,-1.096146089,21837,56.209999919,-1.258387768,2342,80.871050384,0.3772623559,1746,69.873997709,-1.293747581,74,0.272307989,27428,44138,62.141465404,-1.587956911,6916,85407,8.1,-0.864295716,8611,20.5,-1.452395401,19.3,-0.744160599,11664,41447,28.141964437,-1.019766156,360,214.73520962,-0.710604521,11.8,-1.721117328,7.855243008,14619,0.4829527658,16,8.730812675,-1.013483762,9952.144027,5.4602606243,-0.291108847,112,35.443037975,-1.625419827,2013
"01005","Alabama","Barbour",422,9458.14,-0.53246128,22.4,-0.034527036,5,0.5973514128,4.1,-0.167760038,309,2516,12.3,0.9843449236,23.5,0.3167136806,37,0.4533629901,34.2,0.3017348003,12.7,0.4761099665,51,26.17344268,-0.365637557,177,644.6,0.3124715158,469,6301,74.432629741,1.8664864202,3782,18.5,0.4866719037,12,43.81161,-0.072690203,9,32.85871,9,29.42811,-0.181443576,3240,109.25999999,0.5903451916,487,85.831622177,-0.734066898,281,64.768683274,-0.373166333,61.087854393,1.9423141823,3164,7511,42.124883504,0.7194125883,1110,9761,11.4,0.3322965372,2330,39.8,1.0259530983,17.6,-1.096921344,3454,6111,56.521027655,1.4647432158,42.5,150.04942805,-1.02010106,12.11,-1.222892842,7.7501445922,2814,0.4723125764,1,3.6509675064,0.2158786558,3135.6760862,11.420315716,0.6681775163,19,55.882352941,0.3989897002,2013
"01007","Alabama","Bibb",390,11543.9,0.631263799,21,-0.321941278,5,0.5973514128,5.3,1.4330345444,215,1803,11.9,0.7592558114,32.8,2.3971340287,34,-0.272740285,37.2,1.185826562,13.2,0.6106915604,53,33.78787589,0.5033490603,75,327.3,-0.740503943,245,5127,47.786229764,-0.448596068,3166,17.7,0.071295884,6,26.22378,0.7921245592,5,21.85315,5,19.91714,0.5087109401,1863,87.329999924,-0.173890697,303,85.478547855,-0.654966778,166,57.228915663,0.9863911969,73,0.401644061,2586,6098,42.407346671,0.6868522392,913,9216,9.9,-0.211609033,1499,30.5,-0.168277007,29.1,1.2894013452,2011,5336,37.687406297,-0.184088827,52.666666667,246.49755063,-0.558633958,13.68,1.3003731059,0,0,-0.312313964,1,4.3706293706,0.0417148339,491.44906624,2.1446609917,-0.824763229,5,45.454545455,-0.633831256,2013
"01009","Alabama","Blount",826,8505.64,-1.063897369,21.5,-0.219293334,5.2,0.8503015224,4,-0.301159587,372,4888,7.6,-1.660452145,22,-0.018837988,32,-0.756809135,35.9,0.8027201319,5.4,-1.488781304,111,28.302536264,-0.122657708,65,113.4,-1.450341481,632,12891,49.026452564,-0.340843498,9351,19.3,0.9020479233,12,20.91066,1.0533768581,11,19.1681,11,19.00615,0.5748163333,3899,95.189999819,0.1000214777,515,84.466019417,-0.42812751,312,66.025641026,-0.599818726,81.091197462,-0.644839636,6474,14942,43.327533128,0.5807796751,2191,26347,8.3,-0.791774974,3094,22.2,-1.234095274,14.3,-1.781692203,3700,14046,26.34201908,-1.17734645,59,101.84881493,-1.250722421,13.04,0.2717806178,6.7298742684,4266,0.3690201584,3,5.2276648021,-0.16569447,609.02770839,1.0624676536,-0.99894506,22,56.41025641,0.4512758367,2013
"01011","Alabama","Bullock",192,9883.66,-0.295047438,25.1,0.5197718597,5,0.5973514128,NA,0,177,1253,14.1,1.9972459287,NA,0,39.4,1.03424561,30.9,-0.670766138,NA,0,45,58.664024613,3,84,769.7,0.727621941,240,2799,85.744908896,2.8493155978,1285,16.2,-0.707534153,6,55.08124,-0.626831582,2,18.36041,2,15.89446,0.8006132125,1035,117.25999999,0.8691362124,180,76.111111111,1.4436434064,86,56.976744186,1.0318623105,71,0.6603162048,1166,2989,39.009702242,1.0785085752,576,3762,15.3,1.7464510188,937,41.1,1.1928884894,NA,0,1601,2384,67.156040268,2.3958094849,41.666666667,386.07653581,0.1091977029,12.48,-0.628237809,0,0,-0.312313964,0,0,1.0994414595,2199.3598279,20.151730144,2.0735213706,2,50,-0.183627249,2013
"01013","Alabama","Butler",389,11005.65,0.330953589,19.8,-0.568296342,3.8,-0.920349245,3.2,-1.368355975,202,1949,10.4,-0.084828359,29,1.5470698004,40.8,1.3730938049,36.6,1.0090082097,9.7,-0.331379597,42,28.73327313,-0.073500461,135,644.5,0.312139661,309,5001,61.787642472,0.767869398,2971,17.1,-0.240236131,7,33.42725,0.4379212635,6,28.65193,6,28.20344,-0.092576344,2560,142.95999956,1.7647523519,384,82.8125,-0.057685437,197,59.898477157,0.5050206007,72,0.5309801329,2312,4886,47.318870242,0.12068666,1080,9311,11.6,0.4048172798,1726,35.7,0.4994645571,27.6,0.978141864,2553,5029,50.765559753,0.9608677414,75.333333333,370.1762432,0.0331209295,12.4,-0.75681187,0,0,-0.312313964,0,0,1.0994414595,593.22513862,2.8320291145,-0.714129542,16,47.058823529,-0.474935724,2013
"01015","Alabama","Calhoun",2042,11097.28,0.3820774618,23.5,0.1912984403,5.1,0.7238264676,5,1.0328358987,961,10452,9.2,-0.760095696,26.2,0.9207066849,33.6,-0.369554055,33.9,0.2133256241,12.7,0.4761099665,185,22.734338806,-0.758120512,671,565.9,0.0513017439,1481,28890,51.263412946,-0.146492749,15920,16.1,-0.759456155,74,62.48628,-0.990945909,53,44.75369,53,43.67712,-1.21540924,15258,99.239999771,0.2411594304,2068,80.077369439,0.5550726748,1242,59.98389694,0.4896178568,78.540309975,-0.314917869,14598,29672,49.197897007,-0.09591421,4944,53790,9.2,-0.465431632,8419,31.8,-0.001341616,22.4,-0.100891004,10626,26710,39.782852864,-0.000638211,705.66666667,725.3925069,1.7326938774,13.05,0.2878523754,0,0,-0.312313964,9,7.5996825022,-0.739741378,11909.162858,10.043823886,0.4466275772,94,55.294117647,0.3407280053,2013
"01017","Alabama","Chambers",643,10367.83,-0.024910523,39.6,3.4965622231,4.8,0.3444013031,4,-0.301159587,327,2861,11.4,0.4778944211,23.8,0.3838240144,35.2,0.0177010251,35.8,0.7732504065,7.9,-0.815873335,66,27.082922986,-0.26184438,227,663.5,0.3751920837,510,7918,64.410204597,0.995721853,5324,18.8,0.642437911,14,41.00401,0.065362716,9,26.35972,9,26.01081,0.0665299262,4741,89.299999952,-0.105238407,767,86.049543677,-0.782888394,423,64.539007092,-0.331751531,79.139465875,-0.392410339,3903,8396,46.486422106,0.2166453731,1689,14837,11.4,0.3322965372,2912,39.1,0.9360648108,32.6,2.015673468,3934,7850,50.114649682,0.9038823448,171,583.2395375,1.052546694,13.2,0.5289287398,0,0,-0.312313964,2,5.8577160765,-0.318171825,3018.2847466,8.821524906,0.2498953784,22,53.658536585,0.178732073,2013
