"data_for_measures_with_an_asterisk_should_not_be_compared_prior_years_due_to_changes_in_definition.fips","data_for_measures_with_an_asterisk_should_not_be_compared_prior_years_due_to_changes_in_definition.state","data_for_measures_with_an_asterisk_should_not_be_compared_prior_years_due_to_changes_in_definition.county","premature_death_years_of_potential_life_lost.deaths","premature_death_years_of_potential_life_lost.ypll_rate","poor_or_fair_health.pct_fairoverpoor","poor_physical_health_days.physically_unhealthy","poor_mental_health_days.mentally_unhealthy","low_birthweight.lbw_births","low_birthweight.live_births","low_birthweight.pct_lbw","adult_smoking.pct_smokers","adult_obesity.pct_obese","food_environment_index","physical_inactivity.pct_physically_inactive","access_to_exercise_opportunities_az_correction.pct_with","access_to_exercise_opportunities.pct_with","excessive_drinking.pct","alcohol_impaired_driving_deaths.num","alcohol_impaired_driving_deaths.num","alcohol_impaired_driving_deaths.pct","sexually_transmitted_infections.chlamydia_cases","sexually_transmitted_infections.chlamydia_rate","teen_births","teen_births.population","teen_births.birth_rate","uninsured.num","uninsured.pct","primary_care_physicians.num_pcp","primary_care_physicians.pcp_rate","dentists.num","dentists.dentist_rate","previous_dentists_data_used_to_calculate_rankings.num","previous_dentists_data_used_to_calculate_rankings.dentist_rate","mental_health_providers.num_mhp","mental_health_providers.mhp_rate","previous_mental_health_providers_data_used_to_calculate_rankings.num_mhp","previous_mental_health_providers_data_used_to_calculate_rankings.mhp_rate","preventable_hospital_stays_ambulatory_care_sensitive_conditions.num_medicare_enrollees","preventable_hospital_stays_ambulatory_care_sensitive_conditions.acsc_rate","diabetic_screening.num_diabetics","diabetic_screening.pct_hba1c","mammography_screening.num_medicare_enrollees","mammography_screening.pct","high_school_graduation.rate","some_college_post_secondary_education.num","some_college_post_secondary_education.population","some_college_post_secondary_education.pct","unemployment.num_unemployed","unemployment.labor_force","unemployment.pct_unemployed","children_in_poverty.num","children_in_poverty.pct","inadequate_social_support.pct_no_emotional","children_in_single_parent_households.num","children_in_single_parent_households.num","children_in_single_parent_households.pct","violent_crime.annual_crimes","violent_crime.rate","injury_deaths","injury_deaths.death_rate","air_pollution_particulate_matter.average_daily_pm25","drinking_water_violations.pct_pop_in_viol","drinking_water_violations.pop__in_viol","severe_housing_problems.num_households_with","severe_housing_problems.pct","driving_alone_to_work.num_drive","driving_alone_to_work.workers","driving_alone_to_work.pct_drive","long_commute_driving_alone.workers_who_drive","long_commute_driving_alone.drives","Year"
"01001","Alabama","Autauga",729,8376.42,22.8,5.1,3.6,440,4708,9.3,21.7,30.5,7.4451888427,29.4,NA,59.298895018,16.7,13,51,25.490196078,247,446.9,565,14490,38.992408558,6682,13.931281795,21,37.99736,15,27.02021,15,26.80055,NA,NA,1,1.7867,4698,75.145590661,645,86.82170543,425,66.58823529,80,7940,14507,54.732198249,1644,25480,6.4521193093,2648,18.5,23.7,4388,14566,30.12494851,162.33333333,302.90967445,185,69.6,12.92,0,0,2300,11.663286004,21393,24369,87.787763142,21393,41.9,2014
"01003","Alabama","Baldwin",2325,7770.16,12.7,3.3,3.8,1359,15353,8.9,20.6,26.6,7.9934606235,27.6,NA,58.022659315,17.9,43,135,31.851851852,563,301.5,1800,38796,46.396535725,25214,16.580195038,140,74.97978,84,44.02746,84,43.50844,NA,NA,88,45.58027,22090,54.272988632,2436,80.2134647,1841,67.08310701,74,27677,44796,61.784534333,5666,83743,6.7659386456,8723,20.5,19.3,11699,41962,27.879986655,387.33333333,213.30102612,669,76.2,13.13,4.2153622955,7845,9370,13.486865779,66189,79588,83.164547419,66189,35.2,2014
"01005","Alabama","Barbour",422,9458.14,23.4,4.8,4.3,304,2470,12.3,25.1,37.3,5.403317403,35,NA,11.476126307,13.5,10,21,47.619047619,237,873.9,446,6045,73.779983457,3810,18.910065515,12,44.24942,10,36.76335,10,32.68401,NA,NA,1,3.2684,3006,101.23169769,453,87.63796909,282,64.53900709,60.640060241,3084,7448,41.407089151,1016,9088,11.179577465,2683,47,17.6,3350,5992,55.90787717,43.333333333,154.32648361,73,52.7,12.62,31.712359922,11503.5,1650,16.84532925,7431,8990,82.658509455,7431,31.5,2014
"01007","Alabama","Bibb",390,11543.9,17.9,4.7,5.1,230,1808,12.7,25.9,34.3,7.7986030363,37,NA,18.250054549,11.2,8,29,27.586206897,106,465.6,252,5114,49.276495894,2827,15.978070423,5,21.96258,4,17.70146,4,16.11084,NA,NA,NA,NA,1906,89.556434179,313,82.74760383,184,61.95652174,73,2712,6136,44.198174707,694,9083,7.6406473632,1297,27.2,29.1,2067,5262,39.281641961,57,254.23728814,111,98.1,12.87,0,0,710,9.5430107527,6888,8366,82.333253646,6888,49.7,2014
"01009","Alabama","Blount",826,8505.64,24.2,5.9,3.9,379,4925,7.7,21.3,30.4,8.6480641226,35,NA,15.180907854,5.5,14,60,23.333333333,101,175.1,615,12929,47.567483951,8807,18.064899902,11,19.07173,11,19.02258,11,18.86307,NA,NA,2,3.42965,3949,90.9679868,570,83.50877193,341,62.75659824,81.03085554,6816,14729,46.276054043,1639,26358,6.2182259656,3179,23.1,14.3,3541,13976,25.336290784,95,164.46371844,253,89.3,12.66,3.3649371342,2133,2595,12.594030575,18606,23117,80.486222261,18606,60.3,2014
"01011","Alabama","Bullock",192,9883.66,23,4.2,NA,169,1233,13.7,37.8,42.1,3.7021473087,32.5,NA,28.82536192,NA,8,20,40,148,1403.9,226,2655,85.122410546,1200,15.741833924,3,28.4576,2,19.0949,2,16.43926,NA,NA,1,8.21963,1075,90.633109387,204,81.37254902,101,48.51485149,72.5,1148,3193,35.953648606,473,3533,13.388055477,949,43.2,NA,1559,2383,65.421737306,36.333333333,333.95630994,56,102.5,12.75,15.497640498,2167.5,525,14.075067024,3373,4009,84.135694687,3373,44.6,2014
"01013","Alabama","Butler",389,11005.65,19.9,3.9,3.5,200,1932,10.4,30.5,38.3,6.352247144,36.9,NA,47.324199169,10.9,4,26,15.384615385,132,639.2,294,4783,61.467698097,2803,16.378403646,7,33.89831,6,29.54646,6,29.06977,NA,NA,4,19.37984,2900,128.30041925,451,77.60532151,236,58.05084746,72,2230,4830,46.169772257,966,8903,10.850275188,1959,42.1,27.6,2454,4969,49.386194405,93.666666667,452.91899036,74,70.8,12.82,25.133218253,6697.5,1325,16.521197007,6763,7624,88.706715635,6763,32.1,2014
"01015","Alabama","Calhoun",2042,11097.28,22.7,5.2,5.1,931,10328,9,24.4,33.2,6.6419930381,33.3,NA,40.512937287,11.6,17,85,20,781,663,1464,28869,50.711836226,16663,16.94823886,79,67.06453,55,46.88992,55,45.77421,NA,NA,76,63.25163,15783,91.528230046,2205,79.72789116,1323,55.17762661,78.72233677,14926,29384,50.796351756,3966,52372,7.5727487971,8212,31.4,22.4,10305,26587,38.759544138,649,553.32935459,459,78.4,12.89,0,0,6710,14.454976303,38810,45958,84.446668698,38810,26.5,2014
"01017","Alabama","Chambers",643,10367.83,38.5,5,4.3,328,2813,11.7,24.1,35.4,6.0709749485,38.7,NA,34.350431097,NA,12,48,25,260,766.1,497,7933,62.649691163,5039,17.926642712,13,38.30402,8,23.4852,8,23.17363,NA,NA,NA,NA,4635,88.79332489,781,83.86683739,433,65.81986143,79.9875,3853,8184,47.079667644,1360,14659,9.2775769152,2557,34.7,32.6,4011,7766,51.648210147,168.33333333,575.69539444,134,77.5,12.97,0,0,2345,17.141812865,10716,12700,84.377952756,10716,33.2,2014
"01019","Alabama","Cherokee",470,9408.68,24.2,6.1,5.2,149,1678,8.9,24.4,31.4,8.1663439164,34.2,NA,14.91784986,14.9,10,33,30.303030303,70,268.6,268,5131,52.231533814,3633,17.153784409,7,26.86418,4,15.3722,4,15.20277,NA,NA,4,15.20277,3039,100.16150083,499,88.37675351,312,59.61538462,72,3132,5858,53.465346535,814,11455,7.1060672196,1607,29.9,23,1371,5308,25.828937453,86,335.8806452,104,80.9,12.93,0,0,1155,10.176211454,8075,10025,80.548628429,8075,41.5,2014
