"fips","state","county","demographics.population","demographics.num_lt_18","demographics.pct_lt_18","demographics.num_65_and_over","demographics.pct_65_and_over","demographics.num_african_american","demographics.pct_african_american","demographics.num_american_indianover_alaskan_native","demographics.pct_american_indianover_alaskan_native","demographics.num_asian","demographics.pct_asian","demographics.num_native_hawaiianover_other_pacific_islander","demographics.pct_native_hawaiianover_other_pacific_islander","demographics.num_hispanic","demographics.pct_hispanic","demographics.num_non_hispanic_white","demographics.pct_non_hispanic_white","demographics.num_not_proficient_in_english","demographics.pct_not_proficient_in_english","demographics.num_female","demographics.pct_female","demographics.num_rural","demographics.pct_rural","diabetes.num_diabetic","diabetes.pct_diabetic","hiv_prevalence.num_cases","hiv_prevalence.rate","premature_age_adjusted_mortality.num_deaths","premature_age_adjusted_mortality","infant_mortality.num_deaths","infant_mortality.rate","child_mortality.num_deaths","child_mortality.rate","food_insecurity.num_insecure","food_insecurity.pct_insecure","limited_access_to_healthy_foods.num","limited_access_to_healthy_foods.pct","motor_vehicle_crash_deaths.num","motor_vehicle_crash_deaths.mv_mortality_rate","drug_poisoning_deaths.num","drug_poisoning_deaths.mortality_rate","uninsured_adults.num","uninsured_adults.pct","uninsured_children.num","uninsured_children.pct","health_care_costs","could_not_see_doctor_due_to_cost.pct_couldnt_access","other_primary_care_providers.pcp_rate","previous_other_primary_care_providers_data.pcp_rate","median_household_income","children_eligible_for_free_lunch.pct","homicides.homicide_rate","Year"
"01001","Alabama","Autauga",55246,14029,25.393693661,7466,13.514100568,10095,18.272816131,277,0.5013937661,628,1.1367338812,52,0.0941244615,1491,2.6988379249,41934,75.904137856,245,0.4764868334,28450,51.496940955,22921,42.002162321,4748,12.1,81,181.1,754,431.9,38,8,24,41.162144548,7360,13.5,5344.4274725,9.7935303961,80,21.248509284,31,8.2337973477,5656,16.853899103,559,3.7103411655,9939.29,15.6,16.29077,18.10086,51868,38.340966921,4.6,2015
"01003","Alabama","Baldwin",195540,43844,22.422010842,35461,18.134908459,18341,9.3796665644,1442,0.737445024,1729,0.8842180628,129,0.0659711568,8949,4.5765572261,162536,83.121611946,2743,1.560029574,100053,51.167536054,77060,42.279099114,16021,11.5,288,188.1,2460,360.8,96,6.4,95,56.160180658,24660,13.5,9952.144027,5.4602606243,208,16.56670888,192,15.292346658,22278,19.904933793,2388,5.3567823415,9501.9,14.4,29.15005,29.15005,47539,34.407665505,4.3,2015
"01005","Alabama","Barbour",27076,5716,21.110946964,4294,15.859063377,12765,47.145073127,159,0.5872359285,142,0.5244496971,50,0.1846653863,1309,4.8345398139,12545,46.332545428,574,2.2308589195,12594,46.513517506,18613,67.789634702,3085,14.8,90,388.1,414,443.7,34,13.5,20,84.086609207,6240,22.7,3135.6760862,11.420315716,36,18.666390128,NA,NA,3227,22.839549862,273,4.5462114904,10413.95,16.9,11.07992,11.07992,30981,69.677926159,NA,2015
"01007","Alabama","Bibb",22512,4793,21.290867093,3216,14.285714286,4956,22.014925373,89,0.395344705,35,0.1554726368,30,0.1332622601,466,2.0700071073,16786,74.564676617,92,0.4286246739,10354,45.993248045,15663,68.352607462,2181,12.7,21,106.7,407,539.7,25,13.9,22,107.95956424,3510,15.4,491.44906624,2.1446609917,41,25.873874329,30,18.932103167,2439,19.283681214,211,4.2057006179,10825.24,16.3,8.88415,8.88415,39781,54.648205708,7.8,2015
"01009","Alabama","Blount",57872,13798,23.842272602,9496,16.408625933,948,1.6380978712,350,0.6047829693,161,0.2782001659,65,0.1123168372,5041,8.7106027094,50831,87.833494609,1254,2.3225663061,29256,50.552944429,51562,89.951502041,5578,13.2,44,92.8,861,430.5,31,6.3,28,49.822064057,6770,11.8,609.02770839,1.0624676536,102,25.56737002,73,18.298215799,8087,23.345169019,850,5.8770656157,10280.81,17.3,6.91181,6.91181,44392,44.229796703,4.3,2015
"01011","Alabama","Bullock",10639,2237,21.026412257,1555,14.616035342,7328,68.878654009,84,0.7895478898,29,0.2725820096,82,0.7707491306,829,7.7920857223,2363,22.210734092,372,3.6952418794,4806,45.173418554,5607,51.374381528,1426,17.6,38,409.1,180,498.5,NA,NA,12,127.07825903,2600,24.1,2199.3598279,20.151730144,41,54.191945226,NA,NA,1216,23.20610687,95,4.11433521,9975.59,16.7,56.39628,65.79566,25937,85.998715478,NA,2015
"01013","Alabama","Butler",20265,4729,23.335800642,3597,17.749814952,8771,43.281519862,72,0.355292376,194,0.9573155687,10,0.0493461633,247,1.2188502344,10849,53.535652603,46,0.2379474447,10828,53.43202566,14921,71.23215735,2462,16.1,38,219.8,375,528.1,NA,NA,10,50.748540979,4570,22.1,593.22513862,2.8320291145,31,21.316243665,13,8.9390699242,2608,21.600132516,178,3.6944790369,11377.53,18.5,34.54231,39.47693,31041,69.35243211,8.2,2015
"01015","Alabama","Calhoun",116736,25931,22.21337034,18149,15.547046327,24112,20.655153509,589,0.5045572917,973,0.8335046601,108,0.0925164474,4066,3.4830729167,85383,73.141961349,924,0.8348995229,60336,51.685855263,39955,33.696825557,11563,13.2,184,185.4,2081,527.2,87,8.3,84,77.942322681,20290,17.2,11909.162858,10.043823886,144,17.541701131,99,12.059919527,13968,19.651097355,1015,3.6874228003,11404.65,18.4,34.26535,36.83525,37898,52.99061873,12,2015
"01017","Alabama","Chambers",34162,7323,21.436098589,6094,17.838534044,13246,38.774076459,75,0.2195421814,232,0.6791171477,22,0.0643990399,671,1.964170716,19603,57.382471752,101,0.3142110503,17778,52.040278672,16816,49.148034488,4023,15.7,92,318.2,686,567.2,25,8.7,18,58.84083554,7010,20.5,3018.2847466,8.821524906,68,28.220802882,24,9.9602833701,4209,20.479758661,300,3.8580246914,8948.13,22.5,8.78169,8.78169,33883,66.121935889,9.7,2015
"01019","Alabama","Cherokee",26203,5425,20.703736213,5264,20.089302752,1176,4.4880357211,139,0.5304736099,64,0.244246842,7,0.0267144983,402,1.5341754761,24061,91.825363508,33,0.1338633782,13197,50.364462084,22282,85.736273039,2745,13.7,26,119.8,512,499.1,NA,NA,14,63.627687134,3850,14.8,34.483862348,0.1326863763,44,24.366471735,30,16.613503456,3250,20.915116803,251,4.4638093544,10850.5,17.1,11.44907,22.89814,37478,53.388793736,NA,2015
"01021","Alabama","Chilton",43951,10620,24.163272736,6553,14.909785898,4365,9.9315146413,216,0.4914563946,188,0.4277490842,81,0.184296148,3386,7.7040340379,35447,80.651179723,867,2.125520961,22340,50.829332666,37858,86.74472424,4211,13.2,35,98.7,767,530.5,40,9.9,35,80.337878162,6200,14.2,736.95757665,1.6886043046,92,30.33510398,57,18.794575292,6514,24.547784142,668,5.989419887,10167.64,14.7,NA,2.27526,41348,53.262695439,6.2,2015
