"fips","state","county","premature_death.num_deaths","premature_death.years_of_potential_life_lost_rate","poor_or_fair_health.pct_fairoverpoor","poor_physical_health_days.physically_unhealthy","poor_mental_health_days.mentally_unhealthy","low_birthweight.num_births","low_birthweight.num_live_births","low_birthweight.pct_lbw","adult_smoking.pct_smokers","adult_obesity.pct_obese","food_environment_index","physical_inactivity.pct_physically_inactive","access_to_exercise_opportunities.num_with","access_to_exercise_opportunities.pct_with","excessive_drinking.pct","alcohol_impaired_driving_deaths.num","alcohol_impaired_driving_deaths.num","alcohol_impaired_driving_deaths.pct","sexually_transmitted_infections.num_chlamydia_cases","sexually_transmitted_infections.chlamydia_rate","teen_births","teen_births.population","teen_births.birth_rate","uninsured.num","uninsured.pct","primary_care_physicians.num","primary_care_physicians.pcp_rate","dentists.num","dentists.dentist_rate","mental_health_providers.num","mental_health_providers.mhp_rate","previous_mental_health_providers_data_used_to_calculate_rankings.num","previous_mental_health_providers_data_used_to_calculate_rankings.mhp_rate","preventable_hospital_stays.num_medicare_enrollees","preventable_hospital_stays.hosp__rate","diabetic_monitoring.num_diabetics","diabetic_monitoring.pct_receiving_hba1c","mammography_screening.num_medicare_enrollees","mammography_screening.pct","high_school_graduation.rate","some_college.num","some_college.population","some_college.pct","unemployment.num_unemployed","unemployment.labor_force","unemployment.pct_unemployed","children_in_poverty.num","children_in_poverty.pct","income_inequality.ratio","children_in_single_parent_households.num","children_in_single_parent_households.num","children_in_single_parent_households.pct","social_associations.num","social_associations.association_rate","violent_crime.num_crimes","violent_crime.rate","injury_deaths.num","injury_deaths.death_rate","air_pollution_particulate_matter.average_daily_pm2_5","drinking_water_violations.pop__in_viol","drinking_water_violations.pct_pop_in_viol","severe_housing_problems.num_households_with","severe_housing_problems.pct","driving_alone_to_work.num_drive","driving_alone_to_work.num_workers","driving_alone_to_work.pct_drive","long_commute_driving_alone.num_workers_who_drive","long_commute_driving_alone.pct_drives","Year"
"01001","Alabama","Autauga",754,8405.21,22.8,5.1,3.6,425,4678,9.0850790936,21.7,31.3,7.2,27.9,40210,73.683824742,16.7,16,48,33.333333333,282,508,531,14548,36.499862524,6138,12.836707378,18,32.42425,16,28.96137,7,12.6706,8,14.48069,4688,79.74,689,84.615384615,391,68.797953964,81,8145,14535,56.037151703,1449,25477,5.6874828276,2724,19.6,4.1715137957,4229,14273,29.629370139,73,13.149836077,138.66666667,253.64461706,200,73.323459108,12.92,0,0,2450,12.25,21372,24144,88.51888668,21372,42,2015
"01003","Alabama","Baldwin",2460,7456.89,12.7,3.3,3.8,1332,15363,8.6701816052,20.6,25,7.6,25.2,134180,73.61808356,17.9,43,142,30.281690141,682,357.5,1750,39297,44.532661526,24378,15.790291866,144,75.47565,91,46.53779,142,72.61941,157,80.29048,22883,51.36,2471,81.060299474,1888,66.101694915,74,28277,45251,62.489226757,4895,83825,5.8395466746,8994,20.8,4.4171482752,12415,42455,29.242727594,222,11.63582997,406.66666667,220.66510634,682,74.53511183,13.13,2134.5,1.1535343709,9970,14.09087697,67474,80619,83.694910629,67474,34.9,2015
"01005","Alabama","Barbour",414,8900.51,23.4,4.8,4.3,284,2391,11.877875366,25.1,38.4,5,32.3,12121,44.145390975,13.5,10,23,43.47826087,195,716.9,425,5832,72.873799726,3468,17.528430629,12,44.11603,10,36.93308,1,3.69331,1,3.69331,3088,86.93,504,85.714285714,301,61.794019934,69.696107784,3156,7456,42.32832618,871,8674,10.041503343,2393,42.4,5.4739856417,3273,5863,55.824663142,23,8.4555714863,39.333333333,146.8885763,77,56.105273896,12.62,19075.5,52.636589404,1780,18.561001043,7532,9163,82.200152788,7532,33.1,2015
"01007","Alabama","Bibb",407,10729.22,17.9,4.7,5.1,228,1783,12.787436904,25.9,37.3,7.6,33.2,9037,39.437049967,11.2,9,29,31.034482759,84,371.7,254,4995,50.850850851,2627,15.104645814,6,26.5522,4,17.7683,NA,NA,NA,NA,2022,70.85,327,82.874617737,162,61.728395062,80,3053,6106,50,611,8920,6.8497757848,1664,35.6,4.5137856924,1867,5022,37.176423736,24,10.620878878,54,235.95211046,92,80.755591447,12.87,0,0,690,9.5501730104,6528,7845,83.212237094,6528,47.5,2015
"01009","Alabama","Blount",861,8668.52,24.2,5.9,3.9,381,4954,7.6907549455,21.3,30.9,8.5,29.8,14622,25.508530756,5.5,11,61,18.032786885,93,160.8,610,12913,47.239216294,8846,18.295760083,17,29.39854,11,19.00746,3,5.18385,3,5.18385,4991,84.79,735,86.12244898,384,59.895833333,85.12195122,7113,14459,49.194273463,1469,26199,5.6070842399,3637,26.6,3.9837506136,3861,13974,27.62988407,50,8.6466295438,126.5,219.03434424,264,91.915284746,12.66,0,0,2480,11.834884276,18816,22580,83.330380868,18816,58.4,2015
"01011","Alabama","Bullock",180,10743.52,23,4.2,NA,161,1181,13.632514818,37.8,43.2,3.8,32.8,2558,23.437786329,NA,10,24,41.666666667,101,964.3,212,2506,84.596967279,1302,17.551900782,4,38.1898,2,18.79876,1,9.39938,3,28.19814,1127,68.39,201,77.114427861,89,51.685393258,72.5,1147,3211,35.720959203,418,3486,11.990820425,974,44.2,5.2633408919,1441,2309,62.407968818,12,11.456940997,31,283.35085234,46,85.390755523,12.75,2167.5,15.497640498,505,13.430851064,3312,4013,82.531771742,3312,46.8,2015
"01013","Alabama","Butler",375,10357.46,19.9,3.9,3.5,207,1916,10.803757829,30.5,38.4,6,37.3,10488,50.069222323,10.9,5,23,21.739130435,150,738.7,287,4531,63.341425734,2771,16.601761428,7,34.47087,5,24.67308,3,14.80385,5,24.67308,2789,116.92,452,86.061946903,224,60.267857143,66,2141,4826,44.363862412,825,8857,9.3146663656,1864,39.8,5.1004804169,2499,4880,51.209016393,24,11.818584724,101,483.03787782,86,82.915541843,12.82,13395,50.266436506,1440,17.799752781,6641,7529,88.205604994,6641,32.9,2015
"01015","Alabama","Calhoun",2081,10538.61,22.7,5.2,5.1,882,10151,8.6887991331,24.4,31.5,6.4,33.2,67311,56.768039672,11.6,16,71,22.535211268,803,684.6,1414,28665,49.328449328,14866,15.292822681,75,63.9408,61,52.25466,99,84.80674,107,91.65981,16302,84.63,2273,80.55433348,1363,57.006603081,81.824047955,14999,29228,51.317230053,3655,50300,7.2664015905,7301,28.7,5.1644956471,10450,26390,39.598332702,173,14.749011049,598.66666667,504.5156397,459,77.888756529,12.89,0,0,6665,14.512792597,38317,44746,85.632235284,38317,28,2015
"01017","Alabama","Chambers",686,11863.82,38.5,5,4.3,331,2786,11.880832735,24.1,39.7,5.7,35.3,21495,62.823323104,NA,14,47,29.787234043,297,871.9,470,7869,59.728046766,4477,16.042569965,14,41.09911,8,23.41783,NA,NA,NA,NA,5186,66.66,866,85.681293303,472,62.288135593,75.860795455,3888,8158,47.658739887,1074,14791,7.2611723345,2497,34.7,5.2797452625,4078,7447,54.760306164,63,18.494598403,161.33333333,553.4591195,134,78.28703298,12.97,0,0,2325,17.146017699,10901,12596,86.543347094,10901,34.3,2015
"01019","Alabama","Cherokee",512,10513.33,24.2,6.1,5.2,147,1643,8.9470480828,24.4,30.3,7.9,29.8,8545,32.879295086,14.9,11,42,26.19047619,50,192.2,263,5101,51.558517938,3477,16.654691766,7,26.90135,4,15.26543,5,19.08178,6,22.89814,3104,87.44,531,91.713747646,295,61.016949153,74,3074,5748,53.47947112,658,11502,5.7207442184,1697,31.6,5.0950101146,1652,5249,31.472661459,24,9.2233196265,97.666666667,374.36913052,107,82.589130653,12.93,0,0,1330,11.555169418,8167,9860,82.829614604,8167,42.9,2015
