"fips","Age.Grouping","Year","Unreliable","County","Deaths","Population","Death.per.100k"
"01001","ADULT",2010,0.51154714360132,"Autauga County, AL",131,28795,454.940093766279
"01001","SENIOR",2010,0,"Autauga County, AL",289,6546,4414.90986862206
"01001","YOUTH",2010,NA,NA,NA,NA,NA
"01003","ADULT",2010,0.0896370501071964,"Baldwin County, AL",449,105414,425.939628512342
"01003","SENIOR",2010,0,"Baldwin County, AL",1324,30568,4331.32687778069
"01003","YOUTH",2010,1,"Baldwin County, AL",10,11600,86.2068965517241
"01005","ADULT",2010,0.678920262830758,"Barbour County, AL",64,11262,568.282720653525
"01005","SENIOR",2010,0,"Barbour County, AL",204,3909,5218.72601688411
"01005","YOUTH",2010,NA,NA,NA,NA,NA
"01007","ADULT",2010,0.712196148584658,"Bibb County, AL",69,9503,726.086499000316
"01007","SENIOR",2010,0,"Bibb County, AL",141,2906,4852.03028217481
"01007","YOUTH",2010,NA,NA,NA,NA,NA
"01009","ADULT",2010,0,"Blount County, AL",124,23286,532.508803572962
"01009","SENIOR",2010,0,"Blount County, AL",392,8439,4645.1001303472
"01009","YOUTH",2010,NA,NA,NA,NA,NA
"01011","ADULT",2010,0.546713917525773,"Bullock County, AL",39,3104,1256.44329896907
"01011","SENIOR",2010,0,"Bullock County, AL",84,1469,5718.17562968005
"01011","YOUTH",2010,NA,NA,NA,NA,NA
"01013","ADULT",2010,0,"Butler County, AL",57,5805,981.912144702842
"01013","SENIOR",2010,0,"Butler County, AL",205,3489,5875.6090570364
"01013","YOUTH",2010,NA,NA,NA,NA,NA
"01015","ADULT",2010,0,"Calhoun County, AL",416,61509,676.323790014469
"01015","SENIOR",2010,0,"Calhoun County, AL",934,16990,5497.35138316657
"01015","YOUTH",2010,1,"Calhoun County, AL",14,1377,1016.70297748729
"01017","ADULT",2010,0.279095381452383,"Chambers County, AL",116,13619,851.751229899405
"01017","SENIOR",2010,0,"Chambers County, AL",316,5706,5538.03014370838
"01017","YOUTH",2010,NA,NA,NA,NA,NA
"01019","ADULT",2010,0.298507462686567,"Cherokee County, AL",80,11323,706.526538903118
"01019","SENIOR",2010,0,"Cherokee County, AL",224,4651,4816.16856589981
"01019","YOUTH",2010,NA,NA,NA,NA,NA
"01021","ADULT",2010,0.246612114127376,"Chilton County, AL",142,23097,614.798458674287
"01021","SENIOR",2010,0,"Chilton County, AL",307,5921,5184.9349771998
"01021","YOUTH",2010,NA,NA,NA,NA,NA
"01023","ADULT",2010,1,"Choctaw County, AL",41,5806,706.166035136066
"01023","SENIOR",2010,0,"Choctaw County, AL",106,2519,4208.01905518063
"01023","YOUTH",2010,NA,NA,NA,NA,NA
"01025","ADULT",2010,0,"Clarke County, AL",67,7110,942.334739803094
"01025","SENIOR",2010,0,"Clarke County, AL",220,4174,5270.7235265932
"01025","YOUTH",2010,NA,NA,NA,NA,NA
"01027","ADULT",2010,0.538071065989848,"Clay County, AL",43,3940,1091.37055837563
"01027","SENIOR",2010,0,"Clay County, AL",125,2449,5104.1241322989
"01027","YOUTH",2010,NA,NA,NA,NA,NA
"01029","ADULT",2010,0.511666666666667,"Cleburne County, AL",46,4200,1095.2380952381
"01029","SENIOR",2010,0,"Cleburne County, AL",124,2361,5252.01185938162
"01029","YOUTH",2010,NA,NA,NA,NA,NA
"01031","ADULT",2010,0.339966065093321,"Coffee County, AL",120,19449,616.998303254666
"01031","SENIOR",2010,0,"Coffee County, AL",367,7210,5090.15256588072
"01031","YOUTH",2010,NA,NA,NA,NA,NA
"01033","ADULT",2010,0.213689306763963,"Colbert County, AL",200,28504,701.655907942745
"01033","SENIOR",2010,0,"Colbert County, AL",474,9463,5008.98235231956
"01033","YOUTH",2010,NA,NA,NA,NA,NA
"01035","ADULT",2010,0.505660377358491,"Conecuh County, AL",49,3975,1232.70440251572
"01035","SENIOR",2010,0,"Conecuh County, AL",103,2362,4360.71126164268
"01035","YOUTH",2010,NA,NA,NA,NA,NA
"01037","ADULT",2010,0,"Coosa County, AL",23,1797,1279.91096271564
"01037","SENIOR",2010,0,"Coosa County, AL",102,1970,5177.66497461929
"01037","YOUTH",2010,NA,NA,NA,NA,NA
"01039","ADULT",2010,0.296204025437619,"Covington County, AL",119,15253,780.1743919229
"01039","SENIOR",2010,0,"Covington County, AL",346,6939,4986.30926646491
"01039","YOUTH",2010,NA,NA,NA,NA,NA
"01041","ADULT",2010,0,"Crenshaw County, AL",20,1873,1067.80565936999
"01041","SENIOR",2010,0,"Crenshaw County, AL",130,2210,5882.35294117647
"01041","YOUTH",2010,NA,NA,NA,NA,NA
"01043","ADULT",2010,0.227857737599619,"Cullman County, AL",216,42035,513.857499702629
"01043","SENIOR",2010,0,"Cullman County, AL",680,12810,5308.35284933646
"01043","YOUTH",2010,NA,NA,NA,NA,NA
"01045","ADULT",2010,0.322528107596932,"Dale County, AL",128,19034,672.480823789009
"01045","SENIOR",2010,0,"Dale County, AL",304,6759,4497.70676135523
"01045","YOUTH",2010,NA,NA,NA,NA,NA
"01047","ADULT",2010,0.226340622448054,"Dallas County, AL",161,22042,730.42373650304
"01047","SENIOR",2010,0,"Dallas County, AL",338,6165,5482.56285482563
"01047","YOUTH",2010,NA,NA,NA,NA,NA
"01049","ADULT",2010,0.244128286809568,"DeKalb County, AL",178,37042,480.535608228497
"01049","SENIOR",2010,0,"DeKalb County, AL",556,9875,5630.37974683544
"01049","YOUTH",2010,NA,NA,NA,NA,NA
"01051","ADULT",2010,0.239326381124067,"Elmore County, AL",217,43823,495.173767199872
"01051","SENIOR",2010,0,"Elmore County, AL",479,9436,5076.30351844002
"01051","YOUTH",2010,NA,NA,NA,NA,NA
"01053","ADULT",2010,0.336848196489423,"Escambia County, AL",107,15553,687.970166527358
"01053","SENIOR",2010,0,"Escambia County, AL",299,5812,5144.5285615967
"01053","YOUTH",2010,NA,NA,NA,NA,NA
"01055","ADULT",2010,0.218847083189506,"Etowah County, AL",374,55043,679.468778954635
"01055","SENIOR",2010,0,"Etowah County, AL",980,16508,5936.51562878604
"01055","YOUTH",2010,1,"Etowah County, AL",12,1283,935.307872174591
"01057","ADULT",2010,0.298013245033113,"Fayette County, AL",62,7097,873.608567000141
"01057","SENIOR",2010,0,"Fayette County, AL",178,3084,5771.72503242542
"01057","YOUTH",2010,NA,NA,NA,NA,NA
"01059","ADULT",2010,0.34322728763529,"Franklin County, AL",101,12196,828.14037389308
"01059","SENIOR",2010,0,"Franklin County, AL",287,4825,5948.18652849741
"01059","YOUTH",2010,NA,NA,NA,NA,NA
"01061","ADULT",2010,0.308136909599928,"Geneva County, AL",76,11073,686.354194888467
"01061","SENIOR",2010,0,"Geneva County, AL",245,4674,5241.76294394523
"01061","YOUTH",2010,NA,NA,NA,NA,NA
"01063","ADULT",2010,1,"Greene County, AL",11,1360,808.823529411765
"01063","SENIOR",2010,0.135488308115543,"Greene County, AL",61,1454,4195.32324621733
"01063","YOUTH",2010,NA,NA,NA,NA,NA
"01065","ADULT",2010,0,"Hale County, AL",56,4611,1214.4870960746
"01065","SENIOR",2010,0,"Hale County, AL",129,2370,5443.03797468354
"01065","YOUTH",2010,NA,NA,NA,NA,NA
"01067","ADULT",2010,1,"Henry County, AL",34,5144,660.964230171073
"01067","SENIOR",2010,0,"Henry County, AL",159,3044,5223.39027595269
"01067","YOUTH",2010,NA,NA,NA,NA,NA
"01069","ADULT",2010,0,"Houston County, AL",257,53478,480.571449942032
"01069","SENIOR",2010,0,"Houston County, AL",710,14675,4838.1601362862
"01069","YOUTH",2010,NA,NA,NA,NA,NA
"01071","ADULT",2010,0.208336274440601,"Jackson County, AL",169,28334,596.456553963436
"01071","SENIOR",2010,0,"Jackson County, AL",447,8773,5095.17838823664
"01071","YOUTH",2010,NA,NA,NA,NA,NA
"01073","ADULT",2010,0,"Jefferson County, AL",1960,399189,490.995493362793
"01073","SENIOR",2010,0,"Jefferson County, AL",4706,86443,5444.04983630832
"01073","YOUTH",2010,0,"Jefferson County, AL",144,53586,268.726906281491
"01075","ADULT",2010,0.517564402810304,"Lamar County, AL",43,4270,1007.02576112412
"01075","SENIOR",2010,0,"Lamar County, AL",150,2732,5490.4831625183
"01075","YOUTH",2010,NA,NA,NA,NA,NA
"01077","ADULT",2010,0.217407021498288,"Lauderdale County, AL",264,47027,561.379632976801
"01077","SENIOR",2010,0,"Lauderdale County, AL",792,15553,5092.26515784736
"01077","YOUTH",2010,1,"Lauderdale County, AL",12,990,1212.12121212121
"01079","ADULT",2010,0.321571826772724,"Lawrence County, AL",128,14709,870.215514310966
"01079","SENIOR",2010,0,"Lawrence County, AL",240,4999,4800.96019203841
