"","Year","County.Code","Age.Grouping","Unreliable","County","Deaths","Population","Death.per.100k"
"1",2014,"01001","ADULT",0.5,"Autauga County, AL",153,28802,531.21311020068
"2",2014,"01001","SENIOR",0,"Autauga County, AL",318,7654,4154.69035798275
"3",2014,"01003","ADULT",0.2,"Baldwin County, AL",506,113862,444.397604117265
"4",2014,"01003","SENIOR",0,"Baldwin County, AL",1420,37378,3799.02616512387
"5",2014,"01003","YOUTH",1,"Baldwin County, AL",14,2201,636.074511585643
"6",2014,"01005","ADULT",0.5,"Barbour County, AL",61,7145,853.743876836949
"7",2014,"01005","SENIOR",0,"Barbour County, AL",215,4429,4854.36893203883
"8",2014,"01007","ADULT",0.333333333333333,"Bibb County, AL",76,9335,814.140332083556
"9",2014,"01007","SENIOR",0,"Bibb County, AL",149,3325,4481.2030075188
"10",2014,"01009","ADULT",0.25,"Blount County, AL",187,29556,632.697252672892
"11",2014,"01009","SENIOR",0,"Blount County, AL",421,9818,4288.04237115502
"12",2014,"01011","ADULT",0,"Bullock County, AL",22,1454,1513.0674002751
"13",2014,"01011","SENIOR",0,"Bullock County, AL",74,1599,4627.89243277048
"14",2014,"01013","ADULT",0.666666666666667,"Butler County, AL",83,7786,1066.01592602106
"15",2014,"01013","SENIOR",0,"Butler County, AL",197,3641,5410.60148310904
"16",2014,"01015","ADULT",0.2,"Calhoun County, AL",426,68749,619.645376660024
"17",2014,"01015","SENIOR",0,"Calhoun County, AL",948,18473,5131.81399880907
"18",2014,"01015","YOUTH",1,"Calhoun County, AL",19,1349,1408.45070422535
"19",2014,"01017","ADULT",0,"Chambers County, AL",97,9627,1007.58283992937
"20",2014,"01017","SENIOR",0,"Chambers County, AL",306,6246,4899.13544668588
"21",2014,"01019","ADULT",0.333333333333333,"Cherokee County, AL",99,10739,921.873545022814
"22",2014,"01019","SENIOR",0,"Cherokee County, AL",228,5441,4190.40617533542
"23",2014,"01021","ADULT",0.333333333333333,"Chilton County, AL",122,17483,697.820740147572
"24",2014,"01021","SENIOR",0,"Chilton County, AL",304,6673,4555.67211149408
"25",2014,"01023","ADULT",1,"Choctaw County, AL",26,3892,668.036998972251
"26",2014,"01023","SENIOR",0,"Choctaw County, AL",121,2765,4376.13019891501
"27",2014,"01025","ADULT",0,"Clarke County, AL",53,6909,767.11535678101
"28",2014,"01025","SENIOR",0,"Clarke County, AL",222,4481,4954.25128319572
"29",2014,"01027","ADULT",0.5,"Clay County, AL",42,3866,1086.39420589757
"30",2014,"01027","SENIOR",0,"Clay County, AL",131,2629,4982.88322556105
"31",2014,"01029","ADULT",0,"Cleburne County, AL",54,4048,1333.99209486166
"32",2014,"01029","SENIOR",0,"Cleburne County, AL",144,2772,5194.8051948052
"33",2014,"01031","ADULT",0.333333333333333,"Coffee County, AL",111,19941,556.642094177825
"34",2014,"01031","SENIOR",0,"Coffee County, AL",385,8112,4746.05522682446
"35",2014,"01033","ADULT",0.25,"Colbert County, AL",187,28124,664.912530223297
"36",2014,"01033","SENIOR",0,"Colbert County, AL",536,10091,5311.66385888415
"37",2014,"01035","ADULT",0.5,"Conecuh County, AL",46,3626,1268.61555432984
"38",2014,"01035","SENIOR",0,"Conecuh County, AL",103,2585,3984.52611218569
"39",2014,"01037","ADULT",1,"Coosa County, AL",26,3569,728.495376856262
"40",2014,"01037","SENIOR",0,"Coosa County, AL",88,2018,4360.7532210109
"41",2014,"01039","ADULT",0.333333333333333,"Covington County, AL",129,14762,873.865329901097
"42",2014,"01039","SENIOR",0,"Covington County, AL",397,7492,5298.9855846236
"43",2014,"01041","ADULT",0.5,"Crenshaw County, AL",47,3871,1214.15654869543
"44",2014,"01041","SENIOR",0,"Crenshaw County, AL",140,2507,5584.36378141205
"45",2014,"01043","ADULT",0.2,"Cullman County, AL",270,46866,576.110613237742
"46",2014,"01043","SENIOR",0,"Cullman County, AL",648,14312,4527.66908887647
"47",2014,"01045","ADULT",0.5,"Dale County, AL",128,25726,497.551115602892
"48",2014,"01045","SENIOR",0,"Dale County, AL",340,7598,4474.86180573835
"49",2014,"01047","ADULT",0.25,"Dallas County, AL",169,20682,817.13567353254
"50",2014,"01047","SENIOR",0,"Dallas County, AL",325,6511,4991.55275687298
"51",2014,"01049","ADULT",0.25,"DeKalb County, AL",211,36178,583.22737575322
